scale,scenario,set_name,mean_ms,median_ms,p95_ms,max_ms,pct_of_overall_mean
100,normal,TimeUpdate,0.00295,0.00210,0.00520,0.02780,2.56
100,normal,Economy,0.00350,0.00170,0.00420,0.06110,3.04
100,normal,Research,0.00300,0.00210,0.00470,0.02790,2.61
100,normal,Diplomacy,0.00214,0.00180,0.00410,0.00430,1.86
100,normal,CountryAi,0.01434,0.01370,0.01810,0.02990,12.45
100,normal,WarPreparation,0.00113,0.00100,0.00170,0.00290,0.98
100,normal,MilitaryAi,0.00186,0.00170,0.00260,0.00700,1.62
100,normal,FrontlineOrders,0.00109,0.00100,0.00190,0.00320,0.95
100,normal,MilitaryAction,0.00362,0.00350,0.00560,0.01800,3.14
100,normal,WarResolution,0.00347,0.00280,0.00580,0.01270,3.01
100,normal,UiUpdate,0.00157,0.00120,0.00370,0.00460,1.37
100,high_load,TimeUpdate,0.00590,0.00310,0.01190,0.08820,1.92
100,high_load,Economy,0.00533,0.00210,0.00870,0.07880,1.74
100,high_load,Research,0.00484,0.00180,0.00670,0.11780,1.58
100,high_load,Diplomacy,0.00221,0.00170,0.00600,0.00770,0.72
100,high_load,CountryAi,0.02610,0.02410,0.04970,0.11090,8.51
100,high_load,WarPreparation,0.01137,0.00930,0.02290,0.04130,3.70
100,high_load,MilitaryAi,0.00950,0.00700,0.02120,0.04030,3.10
100,high_load,FrontlineOrders,0.01707,0.01510,0.03420,0.05410,5.56
100,high_load,MilitaryAction,0.00449,0.00390,0.00960,0.01440,1.46
100,high_load,WarResolution,0.01442,0.01070,0.03040,0.06810,4.70
100,high_load,UiUpdate,0.00212,0.00140,0.00480,0.00640,0.69
500,normal,TimeUpdate,0.00560,0.00290,0.01300,0.06220,1.73
500,normal,Economy,0.01733,0.00290,0.07720,0.34620,5.35
500,normal,Research,0.00487,0.00230,0.01010,0.06200,1.50
500,normal,Diplomacy,0.00749,0.00550,0.01560,0.04390,2.31
500,normal,CountryAi,0.07198,0.06630,0.10710,0.11650,22.23
500,normal,WarPreparation,0.00333,0.00170,0.00430,0.04290,1.03
500,normal,MilitaryAi,0.00537,0.00320,0.00690,0.04670,1.66
500,normal,FrontlineOrders,0.00334,0.00170,0.00340,0.04410,1.03
500,normal,MilitaryAction,0.00824,0.00540,0.01460,0.04740,2.54
500,normal,WarResolution,0.00641,0.00600,0.01510,0.04370,1.98
500,normal,UiUpdate,0.00302,0.00170,0.00480,0.04120,0.93
500,high_load,TimeUpdate,0.00979,0.00360,0.01690,0.10880,1.84
500,high_load,Economy,0.01700,0.00340,0.01610,0.37390,3.20
500,high_load,Research,0.00351,0.00250,0.00980,0.02980,0.66
500,high_load,Diplomacy,0.00932,0.00810,0.01720,0.02300,1.75
500,high_load,CountryAi,0.06809,0.06570,0.08360,0.08640,12.81
500,high_load,WarPreparation,0.03847,0.03140,0.05860,0.16320,7.24
500,high_load,MilitaryAi,0.02013,0.01890,0.02860,0.03220,3.79
500,high_load,FrontlineOrders,0.13714,0.12460,0.21570,0.27840,25.80
500,high_load,MilitaryAction,0.00976,0.00780,0.02160,0.03330,1.84
500,high_load,WarResolution,0.04360,0.03640,0.08670,0.10730,8.20
500,high_load,UiUpdate,0.00173,0.00150,0.00240,0.00750,0.33
1000,normal,TimeUpdate,0.01238,0.00350,0.01170,0.23450,2.21
1000,normal,Economy,0.03536,0.00310,0.01060,1.21840,6.32
1000,normal,Research,0.00407,0.00240,0.01160,0.04410,0.73
1000,normal,Diplomacy,0.02347,0.01830,0.04750,0.08610,4.20
