scale,scenario,set_name,mean_ms,median_ms,p95_ms,max_ms,pct_of_overall_mean
100,normal,TimeUpdate,0.00392,0.00340,0.00420,0.02380,4.83
100,normal,Economy,0.00477,0.00310,0.00420,0.06110,5.86
100,normal,Research,0.00318,0.00300,0.00430,0.00670,3.91
100,normal,Diplomacy,0.00215,0.00210,0.00280,0.00360,2.64
100,normal,CountryAi,0.01321,0.01280,0.01550,0.02150,16.25
100,normal,WarPreparation,0.00136,0.00090,0.00340,0.00570,1.67
100,normal,MilitaryAi,0.00305,0.00260,0.00500,0.00910,3.76
100,normal,FrontlineOrders,0.00318,0.00350,0.00450,0.00730,3.91
100,normal,MilitaryAction,0.00451,0.00450,0.00630,0.02130,5.54
100,normal,WarResolution,0.00303,0.00280,0.00480,0.00600,3.73
100,normal,UiUpdate,0.00208,0.00190,0.00380,0.00590,2.56
100,high_load,TimeUpdate,0.00759,0.00810,0.01240,0.02700,2.19
100,high_load,Economy,0.00980,0.00730,0.01260,0.08890,2.82
100,high_load,Research,0.00773,0.00810,0.01310,0.01380,2.23
100,high_load,Diplomacy,0.00418,0.00300,0.01050,0.01430,1.20
100,high_load,CountryAi,0.02324,0.02240,0.02760,0.03270,6.69
100,high_load,WarPreparation,0.01544,0.01520,0.01730,0.02300,4.45
100,high_load,MilitaryAi,0.00971,0.00990,0.01460,0.01640,2.80
100,high_load,FrontlineOrders,0.02055,0.02140,0.02630,0.03580,5.92
100,high_load,MilitaryAction,0.00600,0.00480,0.00990,0.02210,1.73
100,high_load,WarResolution,0.02123,0.02220,0.02800,0.02960,6.12
100,high_load,UiUpdate,0.00157,0.00140,0.00190,0.00670,0.45
500,normal,TimeUpdate,0.00311,0.00290,0.00560,0.00630,0.85
500,normal,Economy,0.01432,0.00260,0.00840,0.33890,3.90
500,normal,Research,0.00442,0.00450,0.00720,0.01380,1.20
500,normal,Diplomacy,0.00674,0.00520,0.01660,0.01710,1.84
500,normal,CountryAi,0.15820,0.14260,0.22620,0.25090,43.10
500,normal,WarPreparation,0.00195,0.00160,0.00370,0.00390,0.53
500,normal,MilitaryAi,0.00358,0.00300,0.00590,0.01070,0.97
500,normal,FrontlineOrders,0.00429,0.00380,0.00990,0.02130,1.17
500,normal,MilitaryAction,0.01088,0.00920,0.02260,0.04010,2.96
500,normal,WarResolution,0.00360,0.00280,0.00620,0.01760,0.98
500,normal,UiUpdate,0.00209,0.00170,0.00500,0.01440,0.57
500,high_load,TimeUpdate,0.00686,0.00290,0.01030,0.11480,1.00
500,high_load,Economy,0.01660,0.00280,0.00690,0.49050,2.43
500,high_load,Research,0.00433,0.00320,0.00910,0.01450,0.63
500,high_load,Diplomacy,0.01023,0.01090,0.01750,0.03760,1.50
500,high_load,CountryAi,0.20393,0.16180,0.31930,0.52550,29.89
500,high_load,WarPreparation,0.03159,0.03000,0.04280,0.05790,4.63
500,high_load,MilitaryAi,0.01747,0.01580,0.02350,0.04400,2.56
500,high_load,FrontlineOrders,0.14331,0.11900,0.24460,0.30780,21.00
500,high_load,MilitaryAction,0.01016,0.00780,0.02330,0.05220,1.49
500,high_load,WarResolution,0.04001,0.03250,0.07470,0.08940,5.86
500,high_load,UiUpdate,0.00236,0.00120,0.00650,0.03360,0.35
1000,normal,TimeUpdate,0.00666,0.00300,0.00540,0.18850,0.66
1000,normal,Economy,0.02682,0.00510,0.01360,0.67430,2.67
1000,normal,Research,0.00488,0.00350,0.01710,0.02170,0.49
1000,normal,Diplomacy,0.01978,0.01940,0.02910,0.03600,1.97
1000,normal,CountryAi,0.73159,0.71640,0.81610,0.84380,72.92
1000,normal,WarPreparation,0.00229,0.00200,0.00300,0.01460,0.23
1000,normal,MilitaryAi,0.00582,0.00520,0.01010,0.01590,0.58
1000,normal,FrontlineOrders,0.00490,0.00280,0.01740,0.01900,0.49
1000,normal,MilitaryAction,0.01245,0.01180,0.01790,0.03120,1.24
1000,normal,WarResolution,0.00354,0.00270,0.01220,0.02390,0.35
1000,normal,UiUpdate,0.00275,0.00130,0.01420,0.01660,0.27
1000,high_load,TimeUpdate,0.00913,0.00340,0.01700,0.23640,0.52
1000,high_load,Economy,0.02979,0.00670,0.02280,0.71510,1.70
1000,high_load,Research,0.00524,0.00360,0.01300,0.02090,0.30
1000,high_load,Diplomacy,0.02239,0.02130,0.03070,0.04600,1.28
1000,high_load,CountryAi,0.78466,0.75440,0.99640,1.26480,44.71
1000,high_load,WarPreparation,0.07927,0.07740,0.11470,0.12580,4.52
1000,high_load,MilitaryAi,0.05930,0.05630,0.08710,0.12620,3.38
1000,high_load,FrontlineOrders,0.44229,0.41790,0.59100,0.84920,25.20
1000,high_load,MilitaryAction,0.01875,0.01810,0.03110,0.04190,1.07
1000,high_load,WarResolution,0.09782,0.09420,0.11090,0.21390,5.57
1000,high_load,UiUpdate,0.00236,0.00150,0.00270,0.04770,0.13
2000,normal,TimeUpdate,0.00391,0.00340,0.00730,0.00910,0.07
2000,normal,Economy,0.05700,0.00780,0.02150,1.61470,1.09
2000,normal,Research,0.00476,0.00340,0.00980,0.03020,0.09
2000,normal,Diplomacy,0.08007,0.06500,0.16510,0.26900,1.53
2000,normal,CountryAi,4.77527,4.65480,5.89130,7.37720,91.29
2000,normal,WarPreparation,0.02550,0.01830,0.04770,0.05820,0.49
2000,normal,MilitaryAi,0.01460,0.01030,0.04820,0.05130,0.28
2000,normal,FrontlineOrders,0.00600,0.00330,0.01540,0.04070,0.11
2000,normal,MilitaryAction,0.02824,0.02680,0.04420,0.05770,0.54
2000,normal,WarResolution,0.00458,0.00320,0.01320,0.03840,0.09
2000,normal,UiUpdate,0.00350,0.00150,0.01110,0.03660,0.07
2000,high_load,TimeUpdate,0.01388,0.00360,0.00850,0.57760,0.19
2000,high_load,Economy,0.05664,0.00890,0.02150,1.45510,0.78
2000,high_load,Research,0.00492,0.00370,0.00970,0.02520,0.07
2000,high_load,Diplomacy,0.09033,0.09150,0.13470,0.14810,1.25
2000,high_load,CountryAi,5.17093,5.15440,5.70600,6.60010,71.55
2000,high_load,WarPreparation,0.20651,0.19970,0.25160,0.32260,2.86
2000,high_load,MilitaryAi,0.18527,0.17310,0.23400,0.34330,2.56
2000,high_load,FrontlineOrders,0.94604,0.90050,1.15600,1.65210,13.09
2000,high_load,MilitaryAction,0.04562,0.03630,0.07080,0.34990,0.63
2000,high_load,WarResolution,0.26727,0.24120,0.32100,1.01730,3.70
2000,high_load,UiUpdate,0.00436,0.00200,0.01630,0.04140,0.06
