scale,scenario,set_name,mean_ms,median_ms,p95_ms,max_ms,pct_of_overall_mean
100,normal,TimeUpdate,0.00442,0.00290,0.00600,0.06720,1.28
100,normal,Economy,0.00718,0.00250,0.01190,0.14070,2.09
100,normal,Research,0.00320,0.00210,0.00930,0.02010,0.93
100,normal,Diplomacy,0.00218,0.00200,0.00320,0.00610,0.63
100,normal,CountryAi,0.01899,0.01600,0.03210,0.09770,5.52
100,normal,WarPreparation,0.00239,0.00170,0.00580,0.01600,0.70
100,normal,MilitaryAi,0.00379,0.00270,0.00960,0.01830,1.10
100,normal,FrontlineOrders,0.00267,0.00220,0.00490,0.01080,0.78
100,normal,MilitaryAction,0.00605,0.00480,0.01150,0.01840,1.76
100,normal,WarResolution,0.00301,0.00230,0.00770,0.01390,0.87
100,normal,UiUpdate,0.00198,0.00120,0.00360,0.02710,0.58
100,high_load,TimeUpdate,0.00511,0.00380,0.01110,0.03350,1.18
100,high_load,Economy,0.00750,0.00360,0.01210,0.09590,1.73
100,high_load,Research,0.00418,0.00250,0.01210,0.01860,0.96
100,high_load,Diplomacy,0.00316,0.00250,0.00740,0.00990,0.73
100,high_load,CountryAi,0.02275,0.02160,0.03070,0.07950,5.24
100,high_load,WarPreparation,0.01257,0.01110,0.01840,0.03280,2.89
100,high_load,MilitaryAi,0.00874,0.00720,0.01360,0.02790,2.01
100,high_load,FrontlineOrders,0.02406,0.01440,0.03060,0.46200,5.54
100,high_load,MilitaryAction,0.00990,0.00640,0.01710,0.09130,2.28
100,high_load,WarResolution,0.02036,0.01340,0.03110,0.15640,4.69
100,high_load,UiUpdate,0.00200,0.00160,0.00600,0.00800,0.46
500,normal,TimeUpdate,0.00608,0.00330,0.01390,0.07160,1.56
500,normal,Economy,0.02051,0.00300,0.01290,0.58030,5.26
500,normal,Research,0.00348,0.00230,0.00860,0.01750,0.89
500,normal,Diplomacy,0.00964,0.00560,0.01800,0.10490,2.47
500,normal,CountryAi,0.04984,0.04290,0.09110,0.20810,12.77
500,normal,WarPreparation,0.00244,0.00180,0.00530,0.02160,0.62
500,normal,MilitaryAi,0.00527,0.00410,0.01300,0.01870,1.35
500,normal,FrontlineOrders,0.00318,0.00220,0.00760,0.01420,0.82
500,normal,MilitaryAction,0.01119,0.00910,0.01870,0.02860,2.87
500,normal,WarResolution,0.00356,0.00260,0.00460,0.03910,0.91
500,normal,UiUpdate,0.00394,0.00140,0.00580,0.08190,1.01
500,high_load,TimeUpdate,0.03183,0.00440,0.01450,1.50420,2.93
500,high_load,Economy,0.03363,0.00500,0.01390,0.97810,3.09
500,high_load,Research,0.00510,0.00360,0.01010,0.03680,0.47
500,high_load,Diplomacy,0.01341,0.01060,0.02740,0.03640,1.23
500,high_load,CountryAi,0.08405,0.05220,0.29250,0.54770,7.73
500,high_load,WarPreparation,0.06410,0.03690,0.16760,0.81510,5.89
500,high_load,MilitaryAi,0.05304,0.02480,0.10690,1.10140,4.88
500,high_load,FrontlineOrders,0.16898,0.12830,0.29390,0.86130,15.53
500,high_load,MilitaryAction,0.02366,0.01660,0.05810,0.19220,2.18
500,high_load,WarResolution,0.07146,0.04300,0.14190,1.09250,6.57
500,high_load,UiUpdate,0.00350,0.00220,0.00490,0.06430,0.32
1000,normal,TimeUpdate,0.01388,0.00380,0.00890,0.28500,2.44
1000,normal,Economy,0.05453,0.00430,0.04810,2.04550,9.57
1000,normal,Research,0.00878,0.00330,0.01850,0.12240,1.54
1000,normal,Diplomacy,0.02588,0.02090,0.05410,0.11750,4.54
1000,normal,CountryAi,0.09325,0.08040,0.15420,0.28590,16.37
1000,normal,WarPreparation,0.00346,0.00210,0.00580,0.05530,0.61
1000,normal,MilitaryAi,0.00756,0.00580,0.01270,0.03830,1.33
1000,normal,FrontlineOrders,0.00410,0.00250,0.01160,0.01820,0.72
1000,normal,MilitaryAction,0.01349,0.01230,0.01900,0.02130,2.37
1000,normal,WarResolution,0.00365,0.00290,0.00450,0.03220,0.64
1000,normal,UiUpdate,0.00187,0.00150,0.00310,0.00870,0.33
1000,high_load,TimeUpdate,0.01219,0.00530,0.01060,0.24960,0.81
1000,high_load,Economy,0.04095,0.00680,0.01470,1.25670,2.72
1000,high_load,Research,0.00524,0.00370,0.01190,0.03140,0.35
1000,high_load,Diplomacy,0.06219,0.04880,0.10750,0.39240,4.13
1000,high_load,CountryAi,0.14801,0.10060,0.37340,0.98850,9.82
1000,high_load,WarPreparation,0.10802,0.08570,0.15440,0.93450,7.17
1000,high_load,MilitaryAi,0.08418,0.06690,0.11490,0.79440,5.58
1000,high_load,FrontlineOrders,0.50275,0.45780,0.75850,1.04720,33.35
1000,high_load,MilitaryAction,0.03702,0.02710,0.07750,0.20500,2.46
1000,high_load,WarResolution,0.14568,0.11650,0.31810,0.50750,9.66
1000,high_load,UiUpdate,0.00810,0.00260,0.05190,0.09130,0.54
2000,normal,TimeUpdate,0.03079,0.00390,0.00960,0.97080,3.84
2000,normal,Economy,0.08385,0.00580,0.01110,2.75810,10.46
2000,normal,Research,0.00578,0.00320,0.01080,0.05050,0.72
2000,normal,Diplomacy,0.12539,0.09160,0.27380,0.48080,15.64
2000,normal,CountryAi,0.19361,0.16710,0.30300,0.53140,24.16
2000,normal,WarPreparation,0.00344,0.00240,0.00390,0.05000,0.43
2000,normal,MilitaryAi,0.01208,0.00980,0.02600,0.05420,1.51
2000,normal,FrontlineOrders,0.00381,0.00300,0.00940,0.01590,0.48
2000,normal,MilitaryAction,0.03153,0.02630,0.03590,0.31010,3.93
2000,normal,WarResolution,0.00500,0.00350,0.01010,0.05170,0.62
2000,normal,UiUpdate,0.00377,0.00170,0.00870,0.05060,0.47
2000,high_load,TimeUpdate,0.03052,0.00650,0.07530,0.69040,0.73
2000,high_load,Economy,0.10999,0.01200,0.08720,4.16830,2.65
2000,high_load,Research,0.01238,0.00420,0.06060,0.23110,0.30
2000,high_load,Diplomacy,0.27560,0.24920,0.49980,0.89310,6.63
2000,high_load,CountryAi,0.34097,0.24960,0.68540,1.71170,8.20
2000,high_load,WarPreparation,0.24972,0.22440,0.44060,0.60350,6.01
2000,high_load,MilitaryAi,0.28490,0.21780,0.59530,1.12740,6.85
2000,high_load,FrontlineOrders,1.59510,1.15690,3.17480,4.46760,38.36
2000,high_load,MilitaryAction,0.10394,0.05870,0.16160,1.07330,2.50
2000,high_load,WarResolution,0.56855,0.35010,1.82950,3.58390,13.67
2000,high_load,UiUpdate,0.05171,0.00500,0.05620,2.49730,1.24
