scale,scenario,set_name,mean_ms,median_ms,p95_ms,max_ms,pct_of_overall_mean
100,normal,TimeUpdate,0.00353,0.00310,0.00490,0.01940,4.20
100,normal,Economy,0.00498,0.00320,0.00460,0.06720,5.92
100,normal,Research,0.00315,0.00300,0.00490,0.00970,3.75
100,normal,Diplomacy,0.00236,0.00220,0.00390,0.00610,2.81
100,normal,CountryAi,0.01187,0.01170,0.01370,0.01960,14.12
100,normal,WarPreparation,0.00094,0.00080,0.00150,0.00290,1.11
100,normal,MilitaryAi,0.00229,0.00190,0.00410,0.00600,2.72
100,normal,FrontlineOrders,0.00324,0.00330,0.00440,0.01280,3.85
100,normal,MilitaryAction,0.00545,0.00540,0.00710,0.00830,6.49
100,normal,WarResolution,0.00255,0.00240,0.00440,0.00500,3.04
100,normal,UiUpdate,0.00229,0.00200,0.00400,0.00460,2.72
100,high_load,TimeUpdate,0.00415,0.00260,0.00590,0.03350,2.60
100,high_load,Economy,0.00441,0.00260,0.00560,0.04470,2.76
100,high_load,Research,0.00408,0.00400,0.00980,0.01040,2.55
100,high_load,Diplomacy,0.00237,0.00180,0.00420,0.00970,1.49
100,high_load,CountryAi,0.01321,0.01210,0.02370,0.02680,8.28
100,high_load,WarPreparation,0.00782,0.00610,0.01280,0.01700,4.90
100,high_load,MilitaryAi,0.00918,0.00880,0.01580,0.02070,5.75
100,high_load,FrontlineOrders,0.01201,0.01070,0.01830,0.03030,7.53
100,high_load,MilitaryAction,0.00645,0.00560,0.01250,0.01770,4.05
100,high_load,WarResolution,0.01115,0.01060,0.01390,0.02380,6.99
100,high_load,UiUpdate,0.00167,0.00120,0.00530,0.01070,1.05
500,normal,TimeUpdate,0.00492,0.00320,0.00460,0.06320,4.80
500,normal,Economy,0.00897,0.00310,0.00480,0.17710,8.76
500,normal,Research,0.00320,0.00300,0.00440,0.01210,3.12
500,normal,Diplomacy,0.00340,0.00330,0.00510,0.00530,3.32
500,normal,CountryAi,0.02347,0.02240,0.02830,0.05020,22.92
500,normal,WarPreparation,0.00157,0.00090,0.00360,0.00410,1.53
500,normal,MilitaryAi,0.00500,0.00560,0.00660,0.00830,4.89
500,normal,FrontlineOrders,0.00332,0.00290,0.00520,0.01090,3.24
500,normal,MilitaryAction,0.00654,0.00660,0.00830,0.01000,6.39
500,normal,WarResolution,0.00308,0.00270,0.00500,0.00590,3.01
500,normal,UiUpdate,0.00228,0.00200,0.00390,0.01090,2.22
500,high_load,TimeUpdate,0.00991,0.00860,0.01350,0.10790,2.33
500,high_load,Economy,0.01574,0.00570,0.01480,0.33480,3.70
500,high_load,Research,0.00575,0.00370,0.01290,0.01560,1.35
500,high_load,Diplomacy,0.00677,0.00480,0.01340,0.01630,1.59
500,high_load,CountryAi,0.03901,0.04290,0.05070,0.05320,9.17
500,high_load,WarPreparation,0.02614,0.03050,0.03340,0.03440,6.14
500,high_load,MilitaryAi,0.01829,0.02080,0.02340,0.02450,4.30
500,high_load,FrontlineOrders,0.09685,0.11620,0.12300,0.13960,22.75
500,high_load,MilitaryAction,0.01329,0.01460,0.02040,0.02270,3.12
500,high_load,WarResolution,0.03589,0.03850,0.05680,0.07650,8.43
500,high_load,UiUpdate,0.00130,0.00140,0.00190,0.00230,0.31
1000,normal,TimeUpdate,0.00746,0.00320,0.00560,0.13400,5.11
1000,normal,Economy,0.01651,0.00360,0.00570,0.40010,11.30
1000,normal,Research,0.00336,0.00310,0.00480,0.00960,2.30
1000,normal,Diplomacy,0.01059,0.01020,0.01380,0.05120,7.25
1000,normal,CountryAi,0.04121,0.04090,0.04590,0.05060,28.21
1000,normal,WarPreparation,0.00134,0.00090,0.00370,0.00390,0.92
1000,normal,MilitaryAi,0.00576,0.00550,0.00820,0.00940,3.94
1000,normal,FrontlineOrders,0.00301,0.00250,0.00510,0.00910,2.06
1000,normal,MilitaryAction,0.00895,0.00870,0.01270,0.01430,6.13
1000,normal,WarResolution,0.00323,0.00260,0.00530,0.00690,2.21
1000,normal,UiUpdate,0.00242,0.00210,0.00410,0.00450,1.66
1000,high_load,TimeUpdate,0.00742,0.00280,0.00620,0.13290,1.41
1000,high_load,Economy,0.01548,0.00400,0.00690,0.35590,2.95
1000,high_load,Research,0.00334,0.00320,0.00670,0.00880,0.64
1000,high_load,Diplomacy,0.01064,0.01070,0.01470,0.01810,2.03
1000,high_load,CountryAi,0.04651,0.04520,0.05400,0.07690,8.86
1000,high_load,WarPreparation,0.04020,0.03890,0.04510,0.06920,7.66
1000,high_load,MilitaryAi,0.03164,0.03060,0.03480,0.06690,6.03
1000,high_load,FrontlineOrders,0.21467,0.21050,0.24010,0.32700,40.91
1000,high_load,MilitaryAction,0.01230,0.01190,0.01590,0.02120,2.35
1000,high_load,WarResolution,0.05427,0.05410,0.06330,0.06950,10.34
1000,high_load,UiUpdate,0.00127,0.00090,0.00370,0.00380,0.24
2000,normal,TimeUpdate,0.01236,0.00360,0.00460,0.28250,5.03
2000,normal,Economy,0.03145,0.00380,0.00560,0.83940,12.79
2000,normal,Research,0.00460,0.00320,0.00520,0.06570,1.87
2000,normal,Diplomacy,0.03306,0.03090,0.04240,0.06760,13.45
2000,normal,CountryAi,0.08063,0.07800,0.08690,0.20430,32.80
2000,normal,WarPreparation,0.00229,0.00300,0.00370,0.00410,0.93
2000,normal,MilitaryAi,0.00773,0.00740,0.01060,0.01570,3.15
2000,normal,FrontlineOrders,0.00284,0.00250,0.00460,0.00920,1.16
2000,normal,MilitaryAction,0.01318,0.01250,0.01650,0.03510,5.36
2000,normal,WarResolution,0.00254,0.00220,0.00430,0.00680,1.03
2000,normal,UiUpdate,0.00344,0.00320,0.00430,0.04430,1.40
2000,high_load,TimeUpdate,0.01266,0.00320,0.00590,0.28130,1.15
2000,high_load,Economy,0.02859,0.00480,0.00690,0.74100,2.61
2000,high_load,Research,0.00424,0.00360,0.00700,0.02660,0.39
2000,high_load,Diplomacy,0.03606,0.03270,0.05050,0.09890,3.29
2000,high_load,CountryAi,0.10059,0.09800,0.10660,0.21620,9.17
2000,high_load,WarPreparation,0.09794,0.08850,0.10860,0.38830,8.93
2000,high_load,MilitaryAi,0.08983,0.08810,0.09850,0.11490,8.19
2000,high_load,FrontlineOrders,0.50680,0.49160,0.65930,0.77700,46.19
