scale,scenario,set_name,mean_ms,median_ms,p95_ms,max_ms,pct_of_overall_mean
100,normal,TimeUpdate,0.00783,0.00490,0.01560,0.04460,4.04
100,normal,Economy,0.00707,0.00380,0.01530,0.10300,3.65
100,normal,Research,0.00365,0.00290,0.00960,0.01520,1.88
100,normal,Diplomacy,0.00280,0.00210,0.00770,0.01240,1.45
100,normal,CountryAi,0.01438,0.01230,0.02380,0.04170,7.42
100,normal,WarPreparation,0.00214,0.00120,0.00640,0.01150,1.10
100,normal,MilitaryAi,0.00352,0.00260,0.00850,0.01210,1.81
100,normal,FrontlineOrders,0.00346,0.00230,0.01020,0.01660,1.79
100,normal,MilitaryAction,0.00657,0.00600,0.01600,0.02830,3.39
100,normal,WarResolution,0.00494,0.00410,0.01400,0.01560,2.55
100,normal,UiUpdate,0.00383,0.00310,0.00910,0.01120,1.98
100,high_load,TimeUpdate,0.00366,0.00270,0.00620,0.02230,2.97
100,high_load,Economy,0.00502,0.00350,0.00560,0.04900,4.08
100,high_load,Research,0.00334,0.00350,0.00440,0.00700,2.72
100,high_load,Diplomacy,0.00252,0.00240,0.00420,0.00460,2.04
100,high_load,CountryAi,0.01463,0.01260,0.01800,0.09510,11.88
100,high_load,WarPreparation,0.00682,0.00670,0.00930,0.01290,5.54
100,high_load,MilitaryAi,0.00779,0.00750,0.01160,0.01310,6.33
100,high_load,FrontlineOrders,0.01242,0.01050,0.01830,0.07140,10.09
100,high_load,MilitaryAction,0.00549,0.00560,0.00750,0.00940,4.46
100,high_load,WarResolution,0.01141,0.01130,0.01400,0.02620,9.27
100,high_load,UiUpdate,0.00118,0.00110,0.00170,0.00350,0.96
500,normal,TimeUpdate,0.00485,0.00330,0.00580,0.05940,3.95
500,normal,Economy,0.01001,0.00350,0.00650,0.18580,8.15
500,normal,Research,0.00317,0.00330,0.00450,0.00880,2.58
500,normal,Diplomacy,0.00354,0.00340,0.00510,0.00590,2.89
500,normal,CountryAi,0.02584,0.02310,0.03190,0.09280,21.06
500,normal,WarPreparation,0.00214,0.00190,0.00390,0.00420,1.74
500,normal,MilitaryAi,0.00451,0.00510,0.00660,0.00970,3.68
500,normal,FrontlineOrders,0.00339,0.00310,0.00510,0.01180,2.76
500,normal,MilitaryAction,0.00710,0.00650,0.01050,0.03060,5.79
500,normal,WarResolution,0.00313,0.00280,0.00500,0.00570,2.55
500,normal,UiUpdate,0.00259,0.00220,0.00380,0.02640,2.11
500,high_load,TimeUpdate,0.00508,0.00320,0.00580,0.05850,2.39
500,high_load,Economy,0.00865,0.00320,0.00500,0.17320,4.08
500,high_load,Research,0.00341,0.00310,0.00610,0.01050,1.61
500,high_load,Diplomacy,0.00341,0.00330,0.00510,0.00550,1.61
500,high_load,CountryAi,0.02454,0.02380,0.02810,0.03840,11.57
500,high_load,WarPreparation,0.01717,0.01630,0.02260,0.02650,8.09
500,high_load,MilitaryAi,0.01156,0.01110,0.01420,0.02440,5.45
500,high_load,FrontlineOrders,0.06395,0.06320,0.07200,0.08130,30.15
500,high_load,MilitaryAction,0.00708,0.00690,0.00860,0.01650,3.34
500,high_load,WarResolution,0.02140,0.02080,0.02630,0.02860,10.09
500,high_load,UiUpdate,0.00100,0.00080,0.00200,0.00350,0.47
1000,normal,TimeUpdate,0.00686,0.00250,0.00510,0.12530,3.90
1000,normal,Economy,0.01682,0.00380,0.00820,0.41350,9.55
1000,normal,Research,0.00395,0.00350,0.00650,0.01900,2.24
1000,normal,Diplomacy,0.01147,0.01120,0.01370,0.02640,6.51
1000,normal,CountryAi,0.04514,0.04330,0.06380,0.07550,25.63
1000,normal,WarPreparation,0.00150,0.00100,0.00420,0.00570,0.85
1000,normal,MilitaryAi,0.00613,0.00560,0.01020,0.01150,3.48
1000,normal,FrontlineOrders,0.00367,0.00290,0.00640,0.01140,2.08
1000,normal,MilitaryAction,0.01217,0.01080,0.02560,0.03370,6.91
1000,normal,WarResolution,0.00412,0.00250,0.00660,0.05520,2.34
1000,normal,UiUpdate,0.00241,0.00180,0.00410,0.01320,1.37
1000,high_load,TimeUpdate,0.00824,0.00340,0.00700,0.11970,1.48
1000,high_load,Economy,0.01789,0.00530,0.00750,0.43130,3.21
1000,high_load,Research,0.00450,0.00390,0.00760,0.01970,0.81
1000,high_load,Diplomacy,0.01346,0.01200,0.02310,0.04060,2.41
1000,high_load,CountryAi,0.05472,0.05010,0.05890,0.27470,9.81
