scale,scenario,set_name,mean_ms,median_ms,p95_ms,max_ms,pct_of_overall_mean
100,normal,TimeUpdate,0.00423,0.00370,0.00720,0.02490,4.41
100,normal,Economy,0.00656,0.00370,0.00580,0.10630,6.83
100,normal,Research,0.00615,0.00340,0.00860,0.15330,6.41
100,normal,Diplomacy,0.00258,0.00250,0.00390,0.00690,2.68
100,normal,CountryAi,0.01275,0.01210,0.01630,0.02580,13.29
100,normal,WarPreparation,0.00123,0.00090,0.00320,0.00820,1.28
100,normal,MilitaryAi,0.00285,0.00230,0.00520,0.00640,2.97
100,normal,FrontlineOrders,0.00362,0.00370,0.00510,0.00540,3.77
100,normal,MilitaryAction,0.00586,0.00580,0.00770,0.01020,6.10
100,normal,WarResolution,0.00344,0.00280,0.00590,0.02560,3.59
100,normal,UiUpdate,0.00272,0.00240,0.00430,0.00820,2.84
100,high_load,TimeUpdate,0.00407,0.00290,0.00510,0.04450,1.41
100,high_load,Economy,0.00655,0.00290,0.01210,0.08740,2.26
100,high_load,Research,0.00439,0.00360,0.00780,0.01690,1.51
100,high_load,Diplomacy,0.00304,0.00240,0.00360,0.03430,1.05
100,high_load,CountryAi,0.01995,0.01880,0.02590,0.04160,6.88
100,high_load,WarPreparation,0.01241,0.01150,0.01730,0.02860,4.28
100,high_load,MilitaryAi,0.01346,0.01240,0.03000,0.05700,4.64
100,high_load,FrontlineOrders,0.01963,0.01850,0.03240,0.05450,6.77
100,high_load,MilitaryAction,0.00762,0.00570,0.01600,0.02300,2.63
100,high_load,WarResolution,0.01587,0.01540,0.02710,0.03150,5.47
100,high_load,UiUpdate,0.00157,0.00140,0.00250,0.00470,0.54
500,normal,TimeUpdate,0.00531,0.00290,0.00730,0.07440,1.59
500,normal,Economy,0.01831,0.00310,0.07420,0.35590,5.50
500,normal,Research,0.00817,0.00380,0.01330,0.15710,2.46
500,normal,Diplomacy,0.00962,0.00720,0.02360,0.05190,2.89
500,normal,CountryAi,0.04701,0.04400,0.06760,0.10540,14.12
500,normal,WarPreparation,0.00287,0.00160,0.00510,0.04960,0.86
500,normal,MilitaryAi,0.00610,0.00430,0.01430,0.05190,1.83
500,normal,FrontlineOrders,0.00511,0.00350,0.01090,0.05060,1.53
500,normal,MilitaryAction,0.01209,0.01060,0.01920,0.08020,3.63
500,normal,WarResolution,0.00484,0.00300,0.01360,0.05110,1.45
500,normal,UiUpdate,0.00374,0.00190,0.01280,0.05030,1.12
500,high_load,TimeUpdate,0.00516,0.00280,0.00610,0.11560,1.00
500,high_load,Economy,0.01635,0.00470,0.01620,0.33870,3.19
500,high_load,Research,0.00440,0.00330,0.01160,0.01550,0.86
500,high_load,Diplomacy,0.01000,0.01080,0.01560,0.01790,1.95
500,high_load,CountryAi,0.05009,0.04500,0.08370,0.13500,9.76
500,high_load,WarPreparation,0.03205,0.03050,0.04010,0.07540,6.24
500,high_load,MilitaryAi,0.01995,0.01960,0.02500,0.04820,3.88
500,high_load,FrontlineOrders,0.12393,0.11730,0.16540,0.26810,24.14
500,high_load,MilitaryAction,0.01151,0.01000,0.01550,0.10490,2.24
500,high_load,WarResolution,0.03922,0.03710,0.04760,0.13970,7.64
500,high_load,UiUpdate,0.00147,0.00140,0.00220,0.00250,0.29
1000,normal,TimeUpdate,0.01540,0.00250,0.00470,0.43030,4.40
1000,normal,Economy,0.02738,0.00400,0.01380,0.70160,7.83
1000,normal,Research,0.00488,0.00340,0.00870,0.02540,1.40
1000,normal,Diplomacy,0.01761,0.01650,0.02350,0.03420,5.03
1000,normal,CountryAi,0.07542,0.07250,0.10830,0.14270,21.56
1000,normal,WarPreparation,0.00164,0.00140,0.00280,0.00510,0.47
1000,normal,MilitaryAi,0.00584,0.00480,0.01270,0.02120,1.67
1000,normal,FrontlineOrders,0.00805,0.00650,0.01430,0.01570,2.30
1000,normal,MilitaryAction,0.01721,0.01810,0.02470,0.02770,4.92
1000,normal,WarResolution,0.00465,0.00310,0.01520,0.01730,1.33
1000,normal,UiUpdate,0.00279,0.00190,0.00760,0.01790,0.80
1000,high_load,TimeUpdate,0.00692,0.00310,0.00650,0.20470,0.65
1000,high_load,Economy,0.02704,0.00580,0.00880,0.67200,2.53
1000,high_load,Research,0.00423,0.00330,0.00860,0.01400,0.39
1000,high_load,Diplomacy,0.02196,0.01970,0.03150,0.07940,2.05
1000,high_load,CountryAi,0.08651,0.08300,0.09890,0.20670,8.08
1000,high_load,WarPreparation,0.07453,0.07050,0.09180,0.19280,6.96
1000,high_load,MilitaryAi,0.05546,0.05110,0.06930,0.15300,5.18
1000,high_load,FrontlineOrders,0.46360,0.41040,0.76660,1.07150,43.31
1000,high_load,MilitaryAction,0.01831,0.01410,0.03660,0.09130,1.71
1000,high_load,WarResolution,0.09747,0.08600,0.15890,0.26780,9.11
1000,high_load,UiUpdate,0.00161,0.00140,0.00240,0.00780,0.15
2000,normal,TimeUpdate,0.01735,0.00460,0.02120,0.55530,3.07
