scale,scenario,set_name,mean_ms,median_ms,p95_ms,max_ms,pct_of_overall_mean
100,normal,TimeUpdate,0.00366,0.00310,0.00470,0.02650,4.50
100,normal,Economy,0.00494,0.00310,0.00480,0.08440,6.06
100,normal,Research,0.00338,0.00330,0.00500,0.01100,4.15
100,normal,Diplomacy,0.00233,0.00240,0.00340,0.00380,2.86
100,normal,CountryAi,0.01183,0.01170,0.01430,0.01500,14.54
100,normal,WarPreparation,0.00094,0.00080,0.00120,0.00320,1.15
100,normal,MilitaryAi,0.00260,0.00210,0.00480,0.00520,3.19
100,normal,FrontlineOrders,0.00316,0.00350,0.00450,0.00570,3.89
100,normal,MilitaryAction,0.00547,0.00550,0.00690,0.01060,6.73
100,normal,WarResolution,0.00280,0.00250,0.00490,0.00570,3.44
100,normal,UiUpdate,0.00227,0.00210,0.00390,0.00570,2.78
100,high_load,TimeUpdate,0.00384,0.00290,0.00660,0.03220,1.38
100,high_load,Economy,0.00608,0.00280,0.00820,0.08390,2.19
100,high_load,Research,0.00386,0.00320,0.00670,0.00850,1.39
100,high_load,Diplomacy,0.00273,0.00220,0.00530,0.01680,0.98
100,high_load,CountryAi,0.02107,0.02030,0.02590,0.03250,7.58
100,high_load,WarPreparation,0.01087,0.01000,0.01630,0.02560,3.91
100,high_load,MilitaryAi,0.01316,0.01180,0.01760,0.06360,4.73
100,high_load,FrontlineOrders,0.02014,0.01930,0.02580,0.06180,7.24
100,high_load,MilitaryAction,0.00603,0.00470,0.01680,0.02460,2.17
100,high_load,WarResolution,0.01475,0.01430,0.02290,0.02680,5.31
100,high_load,UiUpdate,0.00209,0.00140,0.00490,0.01910,0.75
500,normal,TimeUpdate,0.00323,0.00270,0.00520,0.01430,1.13
500,normal,Economy,0.01845,0.00290,0.01120,0.56540,6.46
500,normal,Research,0.00514,0.00470,0.01000,0.02760,1.80
500,normal,Diplomacy,0.00703,0.00530,0.01690,0.02350,2.46
500,normal,CountryAi,0.04696,0.04170,0.06100,0.15480,16.45
500,normal,WarPreparation,0.00154,0.00140,0.00210,0.00280,0.54
500,normal,MilitaryAi,0.00458,0.00410,0.00650,0.01210,1.60
500,normal,FrontlineOrders,0.00474,0.00360,0.01130,0.01460,1.66
500,normal,MilitaryAction,0.01174,0.01030,0.02000,0.03470,4.11
500,normal,WarResolution,0.00310,0.00260,0.00670,0.01020,1.08
500,normal,UiUpdate,0.00218,0.00130,0.00470,0.01150,0.76
500,high_load,TimeUpdate,0.00568,0.00300,0.01550,0.10380,1.11
500,high_load,Economy,0.01504,0.00380,0.01950,0.33580,2.94
500,high_load,Research,0.00431,0.00320,0.01120,0.01960,0.84
500,high_load,Diplomacy,0.00830,0.00670,0.01550,0.01630,1.62
500,high_load,CountryAi,0.04957,0.04420,0.09040,0.17760,9.69
500,high_load,WarPreparation,0.03419,0.02980,0.05760,0.06420,6.69
500,high_load,MilitaryAi,0.02061,0.01940,0.03360,0.04020,4.03
500,high_load,FrontlineOrders,0.12620,0.11500,0.18590,0.26780,24.68
500,high_load,MilitaryAction,0.01295,0.01070,0.01960,0.07730,2.53
500,high_load,WarResolution,0.04500,0.04080,0.08500,0.14600,8.80
500,high_load,UiUpdate,0.00162,0.00140,0.00340,0.00500,0.32
1000,normal,TimeUpdate,0.01146,0.00300,0.00950,0.25280,3.34
1000,normal,Economy,0.03199,0.00380,0.01310,0.96460,9.31
1000,normal,Research,0.00485,0.00320,0.01160,0.05030,1.41
1000,normal,Diplomacy,0.02077,0.01850,0.02740,0.06370,6.05
1000,normal,CountryAi,0.07461,0.07110,0.08680,0.16050,21.72
1000,normal,WarPreparation,0.00153,0.00140,0.00220,0.00320,0.45
1000,normal,MilitaryAi,0.00518,0.00450,0.00700,0.02240,1.51
1000,normal,FrontlineOrders,0.00395,0.00250,0.00690,0.01370,1.15
1000,normal,MilitaryAction,0.01228,0.01090,0.02220,0.03520,3.58
1000,normal,WarResolution,0.00252,0.00220,0.00420,0.00530,0.74
1000,normal,UiUpdate,0.00188,0.00130,0.00370,0.01240,0.55
1000,high_load,TimeUpdate,0.00369,0.00340,0.00590,0.01330,0.33
1000,high_load,Economy,0.03288,0.00520,0.01220,1.00950,2.90
1000,high_load,Research,0.00562,0.00360,0.01710,0.02780,0.50
1000,high_load,Diplomacy,0.02694,0.02370,0.04130,0.12070,2.38
1000,high_load,CountryAi,0.09769,0.08950,0.14960,0.28170,8.63
1000,high_load,WarPreparation,0.08390,0.07150,0.15790,0.28640,7.41
1000,high_load,MilitaryAi,0.06311,0.05560,0.09840,0.19120,5.57
1000,high_load,FrontlineOrders,0.45950,0.41930,0.61870,0.73510,40.58
1000,high_load,MilitaryAction,0.02175,0.01730,0.05340,0.07100,1.92
1000,high_load,WarResolution,0.11148,0.10020,0.15100,0.47160,9.85
1000,high_load,UiUpdate,0.00407,0.00180,0.02490,0.05130,0.36
2000,normal,TimeUpdate,0.00346,0.00320,0.00500,0.01260,0.58
2000,normal,Economy,0.06532,0.00740,0.01430,1.77030,10.96
2000,normal,Research,0.00505,0.00370,0.00780,0.03160,0.85
2000,normal,Diplomacy,0.07289,0.05740,0.14130,0.16460,12.23
2000,normal,CountryAi,0.17135,0.15070,0.27710,0.33810,28.76
2000,normal,WarPreparation,0.00388,0.00200,0.00310,0.10900,0.65
2000,normal,MilitaryAi,0.00977,0.00820,0.01470,0.07780,1.64
2000,normal,FrontlineOrders,0.00343,0.00270,0.00990,0.01330,0.58
2000,normal,MilitaryAction,0.02285,0.02050,0.03470,0.06810,3.83
2000,normal,WarResolution,0.00284,0.00270,0.00370,0.01210,0.48
2000,normal,UiUpdate,0.00177,0.00140,0.00400,0.00810,0.30
2000,high_load,TimeUpdate,0.00440,0.00400,0.00770,0.01140,0.17
2000,high_load,Economy,0.07635,0.00950,0.02270,2.13920,2.99
2000,high_load,Research,0.00666,0.00360,0.01000,0.08860,0.26
2000,high_load,Diplomacy,0.09827,0.09550,0.18120,0.27310,3.85
2000,high_load,CountryAi,0.21434,0.19250,0.31370,0.42650,8.39
