scale,scenario,set_name,mean_ms,median_ms,p95_ms,max_ms,pct_of_overall_mean
100,normal,TimeUpdate,0.00339,0.00300,0.00530,0.02010,4.44
100,normal,Economy,0.00471,0.00290,0.00420,0.07240,6.17
100,normal,Research,0.00314,0.00300,0.00440,0.00710,4.11
100,normal,Diplomacy,0.00218,0.00200,0.00370,0.00410,2.85
100,normal,CountryAi,0.01116,0.01090,0.01350,0.02030,14.63
100,normal,WarPreparation,0.00091,0.00080,0.00150,0.00290,1.19
100,normal,MilitaryAi,0.00230,0.00190,0.00440,0.00560,3.01
100,normal,FrontlineOrders,0.00299,0.00300,0.00420,0.00490,3.93
100,normal,MilitaryAction,0.00543,0.00520,0.00700,0.01790,7.12
100,normal,WarResolution,0.00244,0.00230,0.00400,0.00510,3.19
100,normal,UiUpdate,0.00229,0.00200,0.00370,0.01030,3.00
100,high_load,TimeUpdate,0.00376,0.00330,0.00670,0.01880,3.25
100,high_load,Economy,0.00484,0.00330,0.00620,0.05000,4.18
100,high_load,Research,0.00335,0.00330,0.00560,0.00690,2.89
100,high_load,Diplomacy,0.00239,0.00240,0.00370,0.00420,2.06
100,high_load,CountryAi,0.01277,0.01210,0.01440,0.03530,11.02
100,high_load,WarPreparation,0.00704,0.00730,0.00940,0.01100,6.08
100,high_load,MilitaryAi,0.00742,0.00700,0.01020,0.01520,6.40
100,high_load,FrontlineOrders,0.01083,0.01030,0.01360,0.01570,9.35
100,high_load,MilitaryAction,0.00493,0.00500,0.00670,0.00900,4.26
100,high_load,WarResolution,0.01102,0.01090,0.01270,0.01390,9.51
100,high_load,UiUpdate,0.00115,0.00100,0.00170,0.00420,0.99
500,normal,TimeUpdate,0.00488,0.00300,0.00540,0.05940,4.58
500,normal,Economy,0.00904,0.00330,0.00490,0.18870,8.48
500,normal,Research,0.00321,0.00310,0.00490,0.00880,3.01
500,normal,Diplomacy,0.00338,0.00320,0.00510,0.00580,3.17
500,normal,CountryAi,0.02323,0.02260,0.02870,0.03450,21.79
500,normal,WarPreparation,0.00104,0.00080,0.00300,0.00400,0.98
500,normal,MilitaryAi,0.00338,0.00240,0.00610,0.00850,3.17
500,normal,FrontlineOrders,0.00388,0.00420,0.00530,0.00660,3.64
500,normal,MilitaryAction,0.00728,0.00680,0.01100,0.01530,6.82
500,normal,WarResolution,0.00260,0.00240,0.00470,0.00500,2.44
500,normal,UiUpdate,0.00273,0.00240,0.00420,0.01610,2.56
500,high_load,TimeUpdate,0.00513,0.00290,0.00460,0.08320,2.28
500,high_load,Economy,0.00947,0.00340,0.00580,0.18450,4.21
500,high_load,Research,0.00364,0.00320,0.00670,0.01080,1.62
500,high_load,Diplomacy,0.00366,0.00340,0.00530,0.00670,1.63
500,high_load,CountryAi,0.02497,0.02390,0.02860,0.04860,11.11
