scale,scenario,set_name,mean_ms,median_ms,p95_ms,max_ms,pct_of_overall_mean
100,normal,TimeUpdate,0.00800,0.00870,0.01300,0.02390,3.33
100,normal,Economy,0.00862,0.00470,0.01220,0.15500,3.59
100,normal,Research,0.00502,0.00420,0.01210,0.01510,2.09
100,normal,Diplomacy,0.00384,0.00240,0.01070,0.01220,1.60
100,normal,CountryAi,0.02167,0.01570,0.02890,0.25620,9.02
100,normal,WarPreparation,0.00185,0.00150,0.00560,0.00650,0.77
100,normal,MilitaryAi,0.00445,0.00310,0.01160,0.01490,1.85
100,normal,FrontlineOrders,0.00415,0.00250,0.01170,0.01990,1.73
100,normal,MilitaryAction,0.00699,0.00650,0.01570,0.02010,2.91
100,normal,WarResolution,0.00454,0.00350,0.01150,0.01360,1.89
100,normal,UiUpdate,0.00298,0.00200,0.00840,0.00900,1.24
100,high_load,TimeUpdate,0.00358,0.00250,0.00710,0.01800,2.33
100,high_load,Economy,0.00547,0.00310,0.01300,0.05400,3.57
100,high_load,Research,0.00358,0.00330,0.00740,0.00980,2.33
100,high_load,Diplomacy,0.00341,0.00270,0.00640,0.01660,2.23
100,high_load,CountryAi,0.01504,0.01390,0.02510,0.03620,9.81
100,high_load,WarPreparation,0.00810,0.00750,0.01290,0.02920,5.28
100,high_load,MilitaryAi,0.00919,0.00770,0.01600,0.02360,5.99
100,high_load,FrontlineOrders,0.01421,0.01230,0.03260,0.03730,9.27
100,high_load,MilitaryAction,0.00533,0.00510,0.01130,0.01200,3.47
100,high_load,WarResolution,0.01150,0.01130,0.01490,0.02880,7.50
100,high_load,UiUpdate,0.00225,0.00110,0.00730,0.02570,1.47
500,normal,TimeUpdate,0.00540,0.00350,0.00530,0.06460,4.42
500,normal,Economy,0.00984,0.00340,0.00690,0.19460,8.05
500,normal,Research,0.00341,0.00310,0.00530,0.01270,2.79
500,normal,Diplomacy,0.00371,0.00350,0.00520,0.00640,3.04
500,normal,CountryAi,0.02526,0.02520,0.03120,0.03980,20.67
500,normal,WarPreparation,0.00140,0.00090,0.00360,0.00430,1.15
500,normal,MilitaryAi,0.00441,0.00490,0.00710,0.00880,3.61
500,normal,FrontlineOrders,0.00377,0.00430,0.00540,0.01190,3.09
500,normal,MilitaryAction,0.00703,0.00670,0.01170,0.01920,5.75
500,normal,WarResolution,0.00322,0.00270,0.00530,0.01010,2.63
500,normal,UiUpdate,0.00265,0.00250,0.00430,0.00930,2.17
500,high_load,TimeUpdate,0.01358,0.01190,0.01670,0.12380,2.72
500,high_load,Economy,0.01656,0.00590,0.01850,0.37290,3.31
500,high_load,Research,0.00524,0.00380,0.01230,0.01950,1.05
500,high_load,Diplomacy,0.00976,0.00950,0.01670,0.02490,1.95
500,high_load,CountryAi,0.04539,0.04840,0.05740,0.06530,9.08
500,high_load,WarPreparation,0.02938,0.03180,0.03570,0.06230,5.88
500,high_load,MilitaryAi,0.01952,0.02160,0.02380,0.02560,3.90
500,high_load,FrontlineOrders,0.10172,0.11710,0.12480,0.14190,20.35
500,high_load,MilitaryAction,0.01340,0.01510,0.01890,0.01980,2.68
500,high_load,WarResolution,0.03901,0.03950,0.05890,0.06340,7.80
500,high_load,UiUpdate,0.00180,0.00160,0.00350,0.00650,0.36
1000,normal,TimeUpdate,0.00788,0.00310,0.00600,0.19860,4.40
1000,normal,Economy,0.01859,0.00380,0.00620,0.49280,10.38
1000,normal,Research,0.00362,0.00310,0.00570,0.01920,2.02
1000,normal,Diplomacy,0.01250,0.01130,0.02580,0.05930,6.97
1000,normal,CountryAi,0.04520,0.04360,0.05640,0.08770,25.23
1000,normal,WarPreparation,0.00248,0.00110,0.00410,0.03590,1.38
1000,normal,MilitaryAi,0.00601,0.00580,0.01020,0.01140,3.35
1000,normal,FrontlineOrders,0.00396,0.00270,0.00750,0.04740,2.21
1000,normal,MilitaryAction,0.00972,0.00880,0.01370,0.03230,5.43
1000,normal,WarResolution,0.00335,0.00260,0.00790,0.01150,1.87
1000,normal,UiUpdate,0.00257,0.00210,0.00430,0.02230,1.43
1000,high_load,TimeUpdate,0.00871,0.00380,0.01290,0.13230,1.44
1000,high_load,Economy,0.01699,0.00410,0.00900,0.39570,2.82
1000,high_load,Research,0.00415,0.00410,0.00870,0.01080,0.69
1000,high_load,Diplomacy,0.01425,0.01260,0.02530,0.04420,2.36
1000,high_load,CountryAi,0.05321,0.04950,0.07690,0.08900,8.82
1000,high_load,WarPreparation,0.04106,0.04040,0.04800,0.07640,6.81
1000,high_load,MilitaryAi,0.03809,0.03180,0.04040,0.29360,6.32
1000,high_load,FrontlineOrders,0.23652,0.22220,0.31290,0.54460,39.22
1000,high_load,MilitaryAction,0.01396,0.01220,0.01930,0.04220,2.32
1000,high_load,WarResolution,0.06184,0.05700,0.10540,0.15740,10.26
1000,high_load,UiUpdate,0.00148,0.00100,0.00440,0.00510,0.25
2000,normal,TimeUpdate,0.01303,0.00300,0.00550,0.32470,4.95
2000,normal,Economy,0.03035,0.00440,0.00650,0.79950,11.53
2000,normal,Research,0.00417,0.00340,0.00570,0.03940,1.59
2000,normal,Diplomacy,0.03596,0.03180,0.05510,0.12430,13.67
2000,normal,CountryAi,0.08317,0.08050,0.09540,0.16150,31.61
2000,normal,WarPreparation,0.00245,0.00150,0.00430,0.02360,0.93
2000,normal,MilitaryAi,0.00821,0.00850,0.01170,0.02000,3.12
2000,normal,FrontlineOrders,0.00339,0.00280,0.00640,0.01110,1.29
2000,normal,MilitaryAction,0.01541,0.01400,0.02290,0.03580,5.86
2000,normal,WarResolution,0.00305,0.00260,0.00550,0.01090,1.16
2000,normal,UiUpdate,0.00294,0.00330,0.00450,0.00760,1.12
2000,high_load,TimeUpdate,0.02088,0.00670,0.01600,0.53480,1.51
2000,high_load,Economy,0.04469,0.00710,0.01560,1.42820,3.24
2000,high_load,Research,0.00609,0.00450,0.01300,0.06160,0.44
2000,high_load,Diplomacy,0.06349,0.05850,0.11480,0.17390,4.61
2000,high_load,CountryAi,0.12295,0.10470,0.18350,0.24980,8.92
2000,high_load,WarPreparation,0.10384,0.09140,0.16130,0.20250,7.54
2000,high_load,MilitaryAi,0.10742,0.09450,0.17560,0.18770,7.80
2000,high_load,FrontlineOrders,0.56521,0.50110,0.89640,0.91820,41.02
2000,high_load,MilitaryAction,0.02253,0.01960,0.03570,0.05490,1.63
2000,high_load,WarResolution,0.14074,0.11790,0.24600,0.26260,10.21
2000,high_load,UiUpdate,0.00206,0.00130,0.00570,0.02340,0.15
