scale,scenario,set_name,mean_ms,median_ms,p95_ms,max_ms,pct_of_overall_mean
100,normal,TimeUpdate,0.00367,0.00290,0.00670,0.01780,3.55
100,normal,Economy,0.00429,0.00210,0.00620,0.05710,4.14
100,normal,Research,0.00238,0.00180,0.00490,0.00570,2.30
100,normal,Diplomacy,0.00223,0.00190,0.00330,0.02010,2.15
100,normal,CountryAi,0.01143,0.01000,0.01920,0.02580,11.05
100,normal,WarPreparation,0.00162,0.00120,0.00390,0.00750,1.57
100,normal,MilitaryAi,0.00289,0.00180,0.00560,0.02410,2.80
100,normal,FrontlineOrders,0.00185,0.00120,0.00470,0.00610,1.79
100,normal,MilitaryAction,0.00294,0.00230,0.00590,0.01170,2.84
100,normal,WarResolution,0.00216,0.00190,0.00400,0.00520,2.09
100,normal,UiUpdate,0.00173,0.00150,0.00280,0.00960,1.68
100,high_load,TimeUpdate,0.00351,0.00330,0.00440,0.01760,3.45
100,high_load,Economy,0.00414,0.00300,0.00400,0.04250,4.07
100,high_load,Research,0.00336,0.00330,0.00450,0.00650,3.31
100,high_load,Diplomacy,0.00208,0.00210,0.00370,0.00390,2.05
100,high_load,CountryAi,0.01265,0.01100,0.01270,0.10750,12.44
100,high_load,WarPreparation,0.00769,0.00720,0.00850,0.04000,7.56
100,high_load,MilitaryAi,0.00669,0.00640,0.00900,0.00970,6.58
100,high_load,FrontlineOrders,0.00995,0.00960,0.01250,0.01890,9.78
100,high_load,MilitaryAction,0.00342,0.00320,0.00530,0.00860,3.36
100,high_load,WarResolution,0.01027,0.01030,0.01250,0.01390,10.10
100,high_load,UiUpdate,0.00117,0.00090,0.00210,0.00620,1.15
500,normal,TimeUpdate,0.00494,0.00320,0.00500,0.05860,5.25
500,normal,Economy,0.00915,0.00310,0.00490,0.18640,9.73
500,normal,Research,0.00304,0.00290,0.00390,0.01170,3.23
500,normal,Diplomacy,0.00291,0.00280,0.00370,0.00490,3.10
500,normal,CountryAi,0.02118,0.02070,0.02410,0.02930,22.52
500,normal,WarPreparation,0.00093,0.00090,0.00110,0.00370,0.99
500,normal,MilitaryAi,0.00258,0.00220,0.00410,0.00590,2.75
500,normal,FrontlineOrders,0.00365,0.00410,0.00460,0.00580,3.88
500,normal,MilitaryAction,0.00522,0.00530,0.00640,0.00930,5.55
500,normal,WarResolution,0.00300,0.00260,0.00460,0.01110,3.20
500,normal,UiUpdate,0.00228,0.00210,0.00390,0.00530,2.42
500,high_load,TimeUpdate,0.00517,0.00350,0.00520,0.05970,2.31
500,high_load,Economy,0.00880,0.00330,0.00520,0.17890,3.93
500,high_load,Research,0.00293,0.00290,0.00470,0.00840,1.31
500,high_load,Diplomacy,0.00330,0.00310,0.00520,0.00530,1.47
500,high_load,CountryAi,0.02409,0.02270,0.02790,0.07920,10.75
500,high_load,WarPreparation,0.01829,0.01720,0.02310,0.05040,8.16
500,high_load,MilitaryAi,0.01187,0.01170,0.01560,0.02120,5.30
500,high_load,FrontlineOrders,0.06425,0.06300,0.07440,0.08650,28.68
500,high_load,MilitaryAction,0.00574,0.00590,0.00730,0.00810,2.56
500,high_load,WarResolution,0.02345,0.02260,0.02800,0.04330,10.47
500,high_load,UiUpdate,0.00098,0.00090,0.00130,0.00520,0.44
1000,normal,TimeUpdate,0.00708,0.00320,0.00480,0.12340,5.52
1000,normal,Economy,0.01437,0.00320,0.00460,0.33890,11.21
1000,normal,Research,0.00381,0.00290,0.00520,0.04160,2.97
1000,normal,Diplomacy,0.00669,0.00580,0.01200,0.01510,5.21
1000,normal,CountryAi,0.03647,0.03590,0.04030,0.04310,28.44
1000,normal,WarPreparation,0.00093,0.00090,0.00110,0.00190,0.72
1000,normal,MilitaryAi,0.00388,0.00320,0.00550,0.00880,3.02
1000,normal,FrontlineOrders,0.00336,0.00360,0.00460,0.01040,2.62
1000,normal,MilitaryAction,0.00735,0.00660,0.01020,0.01940,5.73
1000,normal,WarResolution,0.00287,0.00260,0.00450,0.00660,2.24
1000,normal,UiUpdate,0.00199,0.00200,0.00340,0.00380,1.55
1000,high_load,TimeUpdate,0.00715,0.00330,0.00520,0.12120,1.50
