scale,scenario,set_name,mean_ms,median_ms,p95_ms,max_ms,pct_of_overall_mean
100,normal,TimeUpdate,0.00282,0.00210,0.00450,0.01780,2.12
100,normal,Economy,0.00359,0.00170,0.00420,0.05950,2.70
100,normal,Research,0.00243,0.00170,0.00460,0.00500,1.83
100,normal,Diplomacy,0.00192,0.00150,0.00420,0.00460,1.45
100,normal,CountryAi,0.01063,0.01040,0.01390,0.01510,7.99
100,normal,WarPreparation,0.00126,0.00130,0.00180,0.00250,0.95
100,normal,MilitaryAi,0.00202,0.00180,0.00390,0.00560,1.52
100,normal,FrontlineOrders,0.00116,0.00090,0.00220,0.00460,0.87
100,normal,MilitaryAction,0.00387,0.00280,0.00650,0.04200,2.91
100,normal,WarResolution,0.00313,0.00270,0.00620,0.00910,2.35
100,normal,UiUpdate,0.00150,0.00110,0.00350,0.00400,1.13
100,high_load,TimeUpdate,0.00270,0.00210,0.00550,0.01260,1.92
100,high_load,Economy,0.00327,0.00170,0.00400,0.04850,2.32
100,high_load,Research,0.00285,0.00370,0.00470,0.00500,2.02
100,high_load,Diplomacy,0.00195,0.00140,0.00390,0.00540,1.39
100,high_load,CountryAi,0.01148,0.01050,0.01410,0.03900,8.15
100,high_load,WarPreparation,0.00752,0.00690,0.01080,0.02710,5.34
100,high_load,MilitaryAi,0.00610,0.00550,0.01040,0.01170,4.33
100,high_load,FrontlineOrders,0.01006,0.00960,0.01310,0.02510,7.14
100,high_load,MilitaryAction,0.00355,0.00300,0.00470,0.02760,2.52
100,high_load,WarResolution,0.00908,0.00870,0.01200,0.01540,6.44
100,high_load,UiUpdate,0.00161,0.00150,0.00380,0.00400,1.14
500,normal,TimeUpdate,0.00432,0.00220,0.00560,0.05720,3.04
500,normal,Economy,0.00845,0.00200,0.00490,0.18710,5.94
500,normal,Research,0.00312,0.00270,0.00480,0.01300,2.19
500,normal,Diplomacy,0.00367,0.00300,0.00580,0.00630,2.58
500,normal,CountryAi,0.02495,0.02400,0.03160,0.04640,17.53
500,normal,WarPreparation,0.00119,0.00100,0.00160,0.00670,0.84
500,normal,MilitaryAi,0.00244,0.00220,0.00480,0.00520,1.72
500,normal,FrontlineOrders,0.00290,0.00260,0.00590,0.02350,2.04
500,normal,MilitaryAction,0.00589,0.00570,0.00950,0.01160,4.14
500,normal,WarResolution,0.00347,0.00370,0.00500,0.00760,2.44
500,normal,UiUpdate,0.00187,0.00140,0.00410,0.01530,1.31
500,high_load,TimeUpdate,0.01033,0.00540,0.01750,0.13630,1.69
500,high_load,Economy,0.01859,0.00540,0.01900,0.42130,3.05
500,high_load,Research,0.00549,0.00320,0.01580,0.02280,0.90
500,high_load,Diplomacy,0.01175,0.01060,0.02740,0.03740,1.93
500,high_load,CountryAi,0.04877,0.04180,0.06470,0.27250,8.00
500,high_load,WarPreparation,0.03664,0.03010,0.06550,0.15570,6.01
500,high_load,MilitaryAi,0.03063,0.02560,0.06290,0.20680,5.02
500,high_load,FrontlineOrders,0.12818,0.12490,0.19430,0.36860,21.01
500,high_load,MilitaryAction,0.01323,0.01230,0.02110,0.03850,2.17
500,high_load,WarResolution,0.04858,0.04370,0.09010,0.18330,7.97
500,high_load,UiUpdate,0.00278,0.00190,0.00860,0.01830,0.46
1000,normal,TimeUpdate,0.01027,0.00510,0.01960,0.14650,3.23
1000,normal,Economy,0.03668,0.00460,0.01550,1.48710,11.55
1000,normal,Research,0.00486,0.00350,0.01260,0.02780,1.53
1000,normal,Diplomacy,0.01646,0.01360,0.02920,0.04260,5.18
1000,normal,CountryAi,0.05895,0.04940,0.09590,0.11330,18.56
1000,normal,WarPreparation,0.00251,0.00150,0.00560,0.01600,0.79
1000,normal,MilitaryAi,0.00615,0.00470,0.01310,0.02600,1.94
1000,normal,FrontlineOrders,0.00412,0.00210,0.01040,0.02330,1.30
1000,normal,MilitaryAction,0.01197,0.01090,0.02490,0.03660,3.77
1000,normal,WarResolution,0.00595,0.00410,0.01590,0.02360,1.87
1000,normal,UiUpdate,0.00340,0.00220,0.00930,0.02490,1.07
1000,high_load,TimeUpdate,0.00947,0.00350,0.01540,0.20340,1.25
1000,high_load,Economy,0.02379,0.00310,0.01650,0.72360,3.15
1000,high_load,Research,0.00466,0.00220,0.01430,0.03830,0.62
1000,high_load,Diplomacy,0.01817,0.01550,0.03170,0.05810,2.40
1000,high_load,CountryAi,0.06116,0.05260,0.09710,0.14970,8.10
1000,high_load,WarPreparation,0.05218,0.04360,0.08470,0.11470,6.91
1000,high_load,MilitaryAi,0.03954,0.03360,0.06780,0.08360,5.23
1000,high_load,FrontlineOrders,0.26364,0.23010,0.44210,0.48030,34.89
1000,high_load,MilitaryAction,0.01066,0.00800,0.02400,0.03580,1.41
1000,high_load,WarResolution,0.06110,0.04830,0.10900,0.13520,8.09
1000,high_load,UiUpdate,0.00112,0.00100,0.00190,0.00270,0.15
2000,normal,TimeUpdate,0.01216,0.00230,0.00500,0.29330,4.27
2000,normal,Economy,0.02898,0.00280,0.00600,0.79410,10.18
2000,normal,Research,0.00407,0.00410,0.00640,0.01860,1.43
2000,normal,Diplomacy,0.03223,0.03040,0.04210,0.05780,11.32
2000,normal,CountryAi,0.07932,0.07760,0.09460,0.10090,27.86
2000,normal,WarPreparation,0.00144,0.00100,0.00140,0.02260,0.51
2000,normal,MilitaryAi,0.00432,0.00400,0.00630,0.00880,1.52
2000,normal,FrontlineOrders,0.00429,0.00450,0.00660,0.01120,1.51
2000,normal,MilitaryAction,0.01318,0.01120,0.01950,0.04920,4.63
2000,normal,WarResolution,0.00284,0.00260,0.00540,0.00850,1.00
2000,normal,UiUpdate,0.00102,0.00070,0.00260,0.00550,0.36
2000,high_load,TimeUpdate,0.01249,0.00270,0.00680,0.27550,1.07
2000,high_load,Economy,0.02982,0.00470,0.00810,0.77740,2.55
2000,high_load,Research,0.00371,0.00330,0.00540,0.01700,0.32
2000,high_load,Diplomacy,0.04002,0.03740,0.05640,0.10220,3.42
2000,high_load,CountryAi,0.10001,0.09630,0.11240,0.21650,8.56
2000,high_load,WarPreparation,0.09390,0.09150,0.10380,0.19850,8.03
2000,high_load,MilitaryAi,0.08954,0.08800,0.10580,0.11340,7.66
2000,high_load,FrontlineOrders,0.52190,0.51190,0.57840,0.72500,44.65
2000,high_load,MilitaryAction,0.01840,0.01700,0.03120,0.03820,1.57
2000,high_load,WarResolution,0.12669,0.12340,0.15890,0.17130,10.84
2000,high_load,UiUpdate,0.00105,0.00100,0.00140,0.00180,0.09
