scale,scenario,set_name,mean_ms,median_ms,p95_ms,max_ms,pct_of_overall_mean
100,normal,TimeUpdate,0.00426,0.00330,0.01220,0.02700,4.74
100,normal,Economy,0.00599,0.00320,0.00530,0.10440,6.66
100,normal,Research,0.00352,0.00310,0.00640,0.01100,3.92
100,normal,Diplomacy,0.00243,0.00220,0.00470,0.00650,2.70
100,normal,CountryAi,0.01216,0.01090,0.01490,0.04650,13.52
100,normal,WarPreparation,0.00130,0.00100,0.00240,0.00640,1.45
100,normal,MilitaryAi,0.00262,0.00220,0.00470,0.00640,2.91
100,normal,FrontlineOrders,0.00329,0.00340,0.00480,0.00840,3.66
100,normal,MilitaryAction,0.00384,0.00350,0.00520,0.01970,4.27
100,normal,WarResolution,0.00302,0.00240,0.00490,0.01260,3.36
100,normal,UiUpdate,0.00234,0.00180,0.00440,0.00720,2.60
100,high_load,TimeUpdate,0.00376,0.00340,0.00570,0.01950,3.34
100,high_load,Economy,0.00524,0.00320,0.00490,0.06790,4.65
100,high_load,Research,0.00325,0.00320,0.00480,0.00630,2.88
100,high_load,Diplomacy,0.00234,0.00230,0.00370,0.00460,2.08
100,high_load,CountryAi,0.01189,0.01130,0.01450,0.02230,10.56
100,high_load,WarPreparation,0.00672,0.00690,0.00810,0.01360,5.96
100,high_load,MilitaryAi,0.00701,0.00660,0.00940,0.01050,6.22
100,high_load,FrontlineOrders,0.01035,0.00990,0.01370,0.01780,9.18
100,high_load,MilitaryAction,0.00411,0.00340,0.00610,0.02260,3.65
100,high_load,WarResolution,0.01105,0.01120,0.01310,0.02050,9.81
100,high_load,UiUpdate,0.00100,0.00090,0.00140,0.00180,0.89
500,normal,TimeUpdate,0.00583,0.00340,0.00610,0.07130,4.46
500,normal,Economy,0.00946,0.00340,0.00580,0.17990,7.25
500,normal,Research,0.00344,0.00310,0.00530,0.00930,2.63
500,normal,Diplomacy,0.00355,0.00310,0.00530,0.01840,2.72
500,normal,CountryAi,0.02238,0.02160,0.02710,0.03530,17.16
500,normal,WarPreparation,0.00165,0.00100,0.00330,0.00820,1.26
500,normal,MilitaryAi,0.00473,0.00510,0.00810,0.01290,3.62
500,normal,FrontlineOrders,0.00348,0.00320,0.00490,0.01380,2.66
500,normal,MilitaryAction,0.00575,0.00560,0.00950,0.01440,4.41
