scale,scenario,set_name,mean_ms,median_ms,p95_ms,max_ms,pct_of_overall_mean
100,normal,TimeUpdate,0.00379,0.00330,0.00440,0.02500,4.48
100,normal,Economy,0.00505,0.00340,0.00490,0.06320,5.96
100,normal,Research,0.00327,0.00300,0.00470,0.00960,3.87
100,normal,Diplomacy,0.00216,0.00230,0.00270,0.00290,2.55
100,normal,CountryAi,0.01111,0.01100,0.01320,0.01680,13.12
100,normal,WarPreparation,0.00148,0.00120,0.00350,0.00550,1.75
100,normal,MilitaryAi,0.00289,0.00230,0.00510,0.00810,3.41
100,normal,FrontlineOrders,0.00288,0.00300,0.00500,0.01260,3.40
100,normal,MilitaryAction,0.00424,0.00420,0.00620,0.00780,5.02
100,normal,WarResolution,0.00323,0.00290,0.00550,0.00750,3.81
100,normal,UiUpdate,0.00229,0.00210,0.00390,0.00430,2.70
100,high_load,TimeUpdate,0.00441,0.00310,0.01110,0.02600,1.28
100,high_load,Economy,0.00806,0.00340,0.01680,0.08950,2.34
100,high_load,Research,0.00509,0.00430,0.01160,0.02770,1.48
100,high_load,Diplomacy,0.00340,0.00260,0.00900,0.01340,0.99
100,high_load,CountryAi,0.02159,0.01990,0.02720,0.10070,6.28
100,high_load,WarPreparation,0.01592,0.01360,0.02230,0.11930,4.63
100,high_load,MilitaryAi,0.01264,0.01280,0.02030,0.02860,3.68
100,high_load,FrontlineOrders,0.01953,0.01900,0.03460,0.03930,5.68
100,high_load,MilitaryAction,0.00621,0.00480,0.01380,0.03750,1.81
100,high_load,WarResolution,0.01716,0.01540,0.02810,0.03790,4.99
100,high_load,UiUpdate,0.00284,0.00160,0.01040,0.02160,0.82
500,normal,TimeUpdate,0.00511,0.00290,0.00520,0.12380,1.90
500,normal,Economy,0.01360,0.00270,0.01370,0.31710,5.06
500,normal,Research,0.00422,0.00400,0.00720,0.01540,1.57
500,normal,Diplomacy,0.00585,0.00530,0.01110,0.01650,2.17
500,normal,CountryAi,0.04159,0.03800,0.05570,0.06960,15.46
500,normal,WarPreparation,0.00187,0.00160,0.00290,0.00750,0.70
500,normal,MilitaryAi,0.00426,0.00320,0.01020,0.01450,1.58
500,normal,FrontlineOrders,0.00523,0.00260,0.01240,0.01290,1.94
500,normal,MilitaryAction,0.01391,0.01370,0.02180,0.03890,5.17
500,normal,WarResolution,0.00462,0.00310,0.01470,0.01880,1.72
500,normal,UiUpdate,0.00255,0.00190,0.00410,0.01450,0.95
500,high_load,TimeUpdate,0.00749,0.00310,0.00910,0.12250,1.31
500,high_load,Economy,0.02182,0.00540,0.02150,0.50720,3.82
500,high_load,Research,0.00560,0.00480,0.01300,0.01770,0.98
500,high_load,Diplomacy,0.00999,0.00880,0.01430,0.04140,1.75
500,high_load,CountryAi,0.04591,0.04550,0.05100,0.07500,8.04
500,high_load,WarPreparation,0.03588,0.03330,0.05260,0.06420,6.28
500,high_load,MilitaryAi,0.02065,0.02030,0.02760,0.03350,3.62
500,high_load,FrontlineOrders,0.12893,0.12140,0.17740,0.23070,22.58
500,high_load,MilitaryAction,0.00989,0.00920,0.01410,0.02330,1.73
500,high_load,WarResolution,0.04356,0.03930,0.06640,0.10200,7.63
