scale,scenario,set_name,mean_ms,median_ms,p95_ms,max_ms,pct_of_overall_mean
100,normal,TimeUpdate,0.00652,0.00430,0.01280,0.04470,2.15
100,normal,Economy,0.00934,0.00560,0.01530,0.12270,3.07
100,normal,Research,0.00576,0.00560,0.01080,0.01210,1.90
100,normal,Diplomacy,0.00474,0.00370,0.00970,0.01120,1.56
100,normal,CountryAi,0.02446,0.02380,0.02940,0.03700,8.06
100,normal,WarPreparation,0.00203,0.00180,0.00270,0.00710,0.67
100,normal,MilitaryAi,0.00413,0.00300,0.00810,0.01850,1.36
100,normal,FrontlineOrders,0.00632,0.00520,0.01520,0.02030,2.08
100,normal,MilitaryAction,0.00976,0.00970,0.01710,0.01950,3.21
100,normal,WarResolution,0.00571,0.00420,0.01450,0.02030,1.88
100,normal,UiUpdate,0.00340,0.00210,0.00840,0.01140,1.12
100,high_load,TimeUpdate,0.00799,0.00790,0.01270,0.02640,2.28
100,high_load,Economy,0.01036,0.00820,0.01340,0.08660,2.96
100,high_load,Research,0.00726,0.00740,0.01350,0.01880,2.08
100,high_load,Diplomacy,0.00413,0.00260,0.01010,0.01170,1.18
100,high_load,CountryAi,0.02548,0.02430,0.03110,0.05820,7.29
100,high_load,WarPreparation,0.01499,0.01490,0.01750,0.01800,4.29
100,high_load,MilitaryAi,0.00969,0.00990,0.01450,0.02250,2.77
100,high_load,FrontlineOrders,0.02088,0.02210,0.02610,0.03420,5.97
100,high_load,MilitaryAction,0.00565,0.00490,0.00860,0.01290,1.62
100,high_load,WarResolution,0.02101,0.02240,0.02540,0.02810,6.01
100,high_load,UiUpdate,0.00183,0.00150,0.00270,0.00790,0.52
500,normal,TimeUpdate,0.00975,0.00560,0.01400,0.10910,2.50
500,normal,Economy,0.01804,0.00670,0.01910,0.34790,4.62
500,normal,Research,0.00690,0.00670,0.01300,0.01990,1.77
500,normal,Diplomacy,0.01163,0.01160,0.01850,0.03090,2.98
500,normal,CountryAi,0.06977,0.06510,0.09100,0.20910,17.88
500,normal,WarPreparation,0.00222,0.00200,0.00350,0.00700,0.57
500,normal,MilitaryAi,0.00530,0.00410,0.01160,0.03450,1.36
500,normal,FrontlineOrders,0.00676,0.00720,0.01330,0.01480,1.73
500,normal,MilitaryAction,0.01415,0.01360,0.01970,0.02940,3.63
500,normal,WarResolution,0.00487,0.00360,0.01070,0.01270,1.25
500,normal,UiUpdate,0.00515,0.00200,0.00980,0.11490,1.32
500,high_load,TimeUpdate,0.01075,0.00420,0.01940,0.20370,1.76
500,high_load,Economy,0.01749,0.00620,0.01350,0.34810,2.87
500,high_load,Research,0.00509,0.00380,0.01160,0.01730,0.84
500,high_load,Diplomacy,0.01025,0.00970,0.01690,0.02330,1.68
500,high_load,CountryAi,0.07070,0.06900,0.08330,0.09350,11.61
500,high_load,WarPreparation,0.03538,0.03400,0.04250,0.05510,5.81
500,high_load,MilitaryAi,0.02299,0.02300,0.02620,0.03450,3.77
500,high_load,FrontlineOrders,0.12328,0.12210,0.13440,0.17320,20.24
500,high_load,MilitaryAction,0.01282,0.01200,0.01950,0.02770,2.11
500,high_load,WarResolution,0.04224,0.04050,0.05640,0.06420,6.93
500,high_load,UiUpdate,0.00193,0.00180,0.00240,0.00690,0.32
1000,normal,TimeUpdate,0.01071,0.00340,0.01880,0.24860,2.53
1000,normal,Economy,0.02257,0.00390,0.01320,0.69660,5.34
1000,normal,Research,0.00509,0.00460,0.01480,0.01690,1.20
1000,normal,Diplomacy,0.01985,0.01940,0.02820,0.03920,4.70
1000,normal,CountryAi,0.14790,0.13510,0.22980,0.46900,35.01
1000,normal,WarPreparation,0.00223,0.00190,0.00310,0.01360,0.53
1000,normal,MilitaryAi,0.00604,0.00520,0.01020,0.01280,1.43
1000,normal,FrontlineOrders,0.00416,0.00270,0.01040,0.01090,0.98
1000,normal,MilitaryAction,0.01282,0.01060,0.02130,0.04390,3.04
1000,normal,WarResolution,0.00364,0.00270,0.00880,0.02330,0.86
1000,normal,UiUpdate,0.00218,0.00140,0.00530,0.00930,0.52
1000,high_load,TimeUpdate,0.00655,0.00330,0.01150,0.13570,0.59
1000,high_load,Economy,0.03062,0.00580,0.01790,0.77370,2.76
1000,high_load,Research,0.00614,0.00550,0.01370,0.02630,0.55
1000,high_load,Diplomacy,0.02204,0.02040,0.03770,0.04720,1.98
1000,high_load,CountryAi,0.13985,0.13950,0.14630,0.17980,12.59
1000,high_load,WarPreparation,0.07372,0.07000,0.08440,0.19630,6.64
