scale,scenario,set_name,mean_ms,median_ms,p95_ms,max_ms,pct_of_overall_mean
100,normal,TimeUpdate,0.00409,0.00360,0.00530,0.02320,4.83
100,normal,Economy,0.00502,0.00330,0.00480,0.05900,5.93
100,normal,Research,0.00359,0.00320,0.00460,0.01520,4.24
100,normal,Diplomacy,0.00230,0.00230,0.00360,0.00490,2.72
100,normal,CountryAi,0.01176,0.01110,0.01530,0.02820,13.90
100,normal,WarPreparation,0.00130,0.00100,0.00180,0.00750,1.54
100,normal,MilitaryAi,0.00262,0.00190,0.00410,0.02010,3.09
100,normal,FrontlineOrders,0.00294,0.00300,0.00460,0.00510,3.47
100,normal,MilitaryAction,0.00439,0.00430,0.00670,0.01580,5.19
100,normal,WarResolution,0.00335,0.00300,0.00520,0.00650,3.96
100,normal,UiUpdate,0.00218,0.00210,0.00410,0.00590,2.57
100,high_load,TimeUpdate,0.01822,0.00340,0.01880,0.70740,3.21
100,high_load,Economy,0.01496,0.00330,0.04590,0.39680,2.63
100,high_load,Research,0.00791,0.00480,0.02760,0.06120,1.39
100,high_load,Diplomacy,0.00470,0.00270,0.01680,0.03110,0.83
100,high_load,CountryAi,0.03395,0.02210,0.13020,0.17630,5.98
100,high_load,WarPreparation,0.02134,0.01270,0.07650,0.14870,3.76
100,high_load,MilitaryAi,0.02212,0.01170,0.07510,0.23910,3.90
100,high_load,FrontlineOrders,0.03362,0.02000,0.15280,0.19170,5.92
100,high_load,MilitaryAction,0.01011,0.00450,0.04990,0.08400,1.78
100,high_load,WarResolution,0.02880,0.01700,0.11270,0.18900,5.07
100,high_load,UiUpdate,0.00435,0.00170,0.01350,0.07840,0.77
500,normal,TimeUpdate,0.00626,0.00320,0.01940,0.11750,1.84
500,normal,Economy,0.02424,0.00330,0.01480,0.75770,7.12
500,normal,Research,0.00606,0.00510,0.01360,0.04210,1.78
500,normal,Diplomacy,0.00874,0.00670,0.01660,0.04000,2.57
500,normal,CountryAi,0.04932,0.04180,0.07610,0.16840,14.48
500,normal,WarPreparation,0.00299,0.00190,0.00800,0.01970,0.88
500,normal,MilitaryAi,0.00567,0.00380,0.01530,0.03230,1.66
500,normal,FrontlineOrders,0.00449,0.00300,0.00840,0.03880,1.32
500,normal,MilitaryAction,0.01238,0.00990,0.02120,0.05610,3.64
500,normal,WarResolution,0.00445,0.00310,0.00960,0.03240,1.31
500,normal,UiUpdate,0.00266,0.00190,0.00400,0.02570,0.78
500,high_load,TimeUpdate,0.00556,0.00300,0.01160,0.10770,1.05
500,high_load,Economy,0.01548,0.00300,0.01670,0.33680,2.93
500,high_load,Research,0.00580,0.00510,0.01670,0.01870,1.10
500,high_load,Diplomacy,0.00947,0.00730,0.01900,0.05440,1.79
500,high_load,CountryAi,0.05258,0.04500,0.09830,0.16350,9.96
500,high_load,WarPreparation,0.03450,0.03090,0.04850,0.11390,6.54
500,high_load,MilitaryAi,0.02081,0.01880,0.03080,0.06220,3.94
500,high_load,FrontlineOrders,0.12337,0.11490,0.16420,0.22730,23.37
500,high_load,MilitaryAction,0.00923,0.00850,0.01440,0.02210,1.75
500,high_load,WarResolution,0.04009,0.03840,0.05230,0.08560,7.59
500,high_load,UiUpdate,0.00155,0.00150,0.00220,0.00350,0.29
1000,normal,TimeUpdate,0.01193,0.00290,0.01120,0.24850,3.06
1000,normal,Economy,0.03163,0.00970,0.01710,0.71430,8.12
1000,normal,Research,0.00659,0.00510,0.01640,0.02410,1.69
1000,normal,Diplomacy,0.01936,0.01800,0.02900,0.04230,4.97
1000,normal,CountryAi,0.07856,0.07160,0.13120,0.21810,20.18
1000,normal,WarPreparation,0.00241,0.00190,0.00350,0.01240,0.62
1000,normal,MilitaryAi,0.00633,0.00510,0.01060,0.02210,1.63
1000,normal,FrontlineOrders,0.00874,0.00690,0.01600,0.02380,2.24
1000,normal,MilitaryAction,0.01725,0.01670,0.02430,0.02960,4.43
1000,normal,WarResolution,0.00357,0.00270,0.00800,0.01860,0.92
1000,normal,UiUpdate,0.00270,0.00150,0.00870,0.01550,0.69
1000,high_load,TimeUpdate,0.00810,0.00310,0.00570,0.28100,0.75
1000,high_load,Economy,0.04562,0.00430,0.01080,1.73950,4.20
1000,high_load,Research,0.00676,0.00490,0.01380,0.09420,0.62
1000,high_load,Diplomacy,0.02379,0.02040,0.03940,0.09230,2.19
1000,high_load,CountryAi,0.08924,0.08120,0.10490,0.38180,8.22
1000,high_load,WarPreparation,0.07961,0.07130,0.10510,0.31530,7.33
1000,high_load,MilitaryAi,0.05981,0.05600,0.07440,0.14740,5.51
1000,high_load,FrontlineOrders,0.43667,0.41150,0.56980,0.65280,40.22
1000,high_load,MilitaryAction,0.02203,0.01720,0.04630,0.15330,2.03
1000,high_load,WarResolution,0.10264,0.09510,0.13150,0.33840,9.45
1000,high_load,UiUpdate,0.00245,0.00150,0.00280,0.02690,0.23
2000,normal,TimeUpdate,0.01990,0.00300,0.01610,0.49330,3.69
2000,normal,Economy,0.05543,0.00690,0.01720,1.47420,10.27
2000,normal,Research,0.00511,0.00340,0.01500,0.02930,0.95
2000,normal,Diplomacy,0.06002,0.05430,0.08830,0.09230,11.12
2000,normal,CountryAi,0.15710,0.14770,0.17680,0.47300,29.10
2000,normal,WarPreparation,0.00280,0.00210,0.00350,0.02850,0.52
2000,normal,MilitaryAi,0.00898,0.00860,0.01270,0.02460,1.66
2000,normal,FrontlineOrders,0.00407,0.00270,0.00970,0.02700,0.75
2000,normal,MilitaryAction,0.01989,0.01900,0.02960,0.03760,3.68
2000,normal,WarResolution,0.00307,0.00260,0.00380,0.01790,0.57
2000,normal,UiUpdate,0.00213,0.00140,0.00360,0.01980,0.40
2000,high_load,TimeUpdate,0.01579,0.00340,0.01570,0.62300,0.66
2000,high_load,Economy,0.05886,0.00750,0.02860,1.53390,2.46
2000,high_load,Research,0.00696,0.00360,0.01440,0.10350,0.29
2000,high_load,Diplomacy,0.09868,0.08990,0.15150,0.34290,4.13
2000,high_load,CountryAi,0.19848,0.18680,0.23670,0.36980,8.30
2000,high_load,WarPreparation,0.18974,0.18140,0.24790,0.33410,7.93
2000,high_load,MilitaryAi,0.20077,0.18350,0.26970,0.51480,8.39
2000,high_load,FrontlineOrders,1.02781,0.97070,1.25340,1.93980,42.97
2000,high_load,MilitaryAction,0.04808,0.03560,0.07640,0.23450,2.01
2000,high_load,WarResolution,0.29929,0.26790,0.51730,0.57900,12.51
2000,high_load,UiUpdate,0.00356,0.00190,0.01580,0.04300,0.15
