scale,scenario,set_name,mean_ms,median_ms,p95_ms,max_ms,pct_of_overall_mean
100,normal,TimeUpdate,0.00395,0.00350,0.00600,0.01990,4.93
100,normal,Economy,0.00485,0.00310,0.00510,0.05850,6.07
100,normal,Research,0.00386,0.00290,0.00630,0.03260,4.82
100,normal,Diplomacy,0.00217,0.00220,0.00370,0.00400,2.71
100,normal,CountryAi,0.01053,0.01050,0.01340,0.01880,13.17
100,normal,WarPreparation,0.00121,0.00100,0.00290,0.00420,1.51
100,normal,MilitaryAi,0.00215,0.00190,0.00400,0.00480,2.69
100,normal,FrontlineOrders,0.00243,0.00250,0.00420,0.00510,3.03
100,normal,MilitaryAction,0.00385,0.00360,0.00530,0.01240,4.81
100,normal,WarResolution,0.00299,0.00260,0.00530,0.01490,3.73
100,normal,UiUpdate,0.00216,0.00210,0.00360,0.00400,2.70
100,high_load,TimeUpdate,0.00784,0.00640,0.01550,0.02930,2.60
100,high_load,Economy,0.00932,0.00560,0.01550,0.10480,3.09
100,high_load,Research,0.00466,0.00340,0.01230,0.01340,1.54
100,high_load,Diplomacy,0.00415,0.00280,0.00910,0.01370,1.37
100,high_load,CountryAi,0.01895,0.01880,0.02840,0.03320,6.28
100,high_load,WarPreparation,0.01429,0.01560,0.01930,0.02310,4.73
100,high_load,MilitaryAi,0.01107,0.01040,0.01960,0.02180,3.67
100,high_load,FrontlineOrders,0.01974,0.02020,0.02620,0.04150,6.54
100,high_load,MilitaryAction,0.00692,0.00570,0.01150,0.01860,2.29
100,high_load,WarResolution,0.02087,0.02150,0.03000,0.03700,6.92
100,high_load,UiUpdate,0.00223,0.00160,0.00690,0.01370,0.74
500,normal,TimeUpdate,0.00578,0.00330,0.00640,0.06580,4.88
500,normal,Economy,0.00937,0.00320,0.00610,0.19460,7.91
500,normal,Research,0.00361,0.00300,0.00770,0.01260,3.04
500,normal,Diplomacy,0.00324,0.00300,0.00470,0.00610,2.74
500,normal,CountryAi,0.02312,0.02250,0.02780,0.03280,19.51
500,normal,WarPreparation,0.00166,0.00090,0.00340,0.03030,1.40
500,normal,MilitaryAi,0.00592,0.00260,0.00610,0.16070,5.00
500,normal,FrontlineOrders,0.00358,0.00420,0.00500,0.00610,3.02
500,normal,MilitaryAction,0.00611,0.00580,0.00890,0.01610,5.16
500,normal,WarResolution,0.00292,0.00250,0.00510,0.00680,2.46
500,normal,UiUpdate,0.00240,0.00220,0.00420,0.00440,2.02
500,high_load,TimeUpdate,0.00562,0.00370,0.00720,0.06330,2.08
500,high_load,Economy,0.00969,0.00340,0.00920,0.18600,3.59
500,high_load,Research,0.00298,0.00190,0.00620,0.01000,1.10
500,high_load,Diplomacy,0.00446,0.00410,0.00740,0.01140,1.65
500,high_load,CountryAi,0.03156,0.02710,0.04930,0.14270,11.68
500,high_load,WarPreparation,0.01880,0.01740,0.02330,0.03430,6.96
500,high_load,MilitaryAi,0.01226,0.01160,0.01740,0.02370,4.54
500,high_load,FrontlineOrders,0.06809,0.06220,0.07940,0.18930,25.20
500,high_load,MilitaryAction,0.00523,0.00440,0.00840,0.01110,1.93
500,high_load,WarResolution,0.02697,0.02340,0.04660,0.20840,9.98
500,high_load,UiUpdate,0.00106,0.00080,0.00250,0.00430,0.39
1000,normal,TimeUpdate,0.00745,0.00350,0.00560,0.12490,5.31
1000,normal,Economy,0.01578,0.00360,0.00570,0.38680,11.24
1000,normal,Research,0.00324,0.00310,0.00440,0.01190,2.31
1000,normal,Diplomacy,0.00892,0.00830,0.01350,0.01980,6.35
1000,normal,CountryAi,0.03998,0.03870,0.04470,0.08110,28.47
1000,normal,WarPreparation,0.00168,0.00100,0.00320,0.01870,1.19
1000,normal,MilitaryAi,0.00476,0.00470,0.00840,0.00920,3.39
1000,normal,FrontlineOrders,0.00297,0.00240,0.00490,0.00700,2.11
1000,normal,MilitaryAction,0.00754,0.00700,0.01290,0.02180,5.37
1000,normal,WarResolution,0.00319,0.00280,0.00550,0.00680,2.27
1000,normal,UiUpdate,0.00241,0.00230,0.00390,0.00410,1.72
1000,high_load,TimeUpdate,0.00739,0.00340,0.00540,0.12500,1.43
1000,high_load,Economy,0.01620,0.00430,0.00710,0.36960,3.14
1000,high_load,Research,0.00373,0.00340,0.00650,0.01230,0.72
1000,high_load,Diplomacy,0.01079,0.01090,0.01300,0.03220,2.09
1000,high_load,CountryAi,0.04709,0.04570,0.05910,0.06330,9.11
1000,high_load,WarPreparation,0.04182,0.03910,0.05500,0.14630,8.10
1000,high_load,MilitaryAi,0.03092,0.03050,0.03400,0.04020,5.98
1000,high_load,FrontlineOrders,0.22055,0.21130,0.25120,0.52510,42.69
1000,high_load,MilitaryAction,0.01040,0.01020,0.01250,0.01510,2.01
1000,high_load,WarResolution,0.05357,0.05160,0.06240,0.08740,10.37
1000,high_load,UiUpdate,0.00117,0.00090,0.00340,0.00420,0.23
2000,normal,TimeUpdate,0.01292,0.00360,0.00590,0.27630,5.30
2000,normal,Economy,0.03306,0.00450,0.00630,0.93750,13.56
2000,normal,Research,0.00373,0.00330,0.00570,0.02550,1.53
2000,normal,Diplomacy,0.03209,0.03160,0.03670,0.03990,13.16
2000,normal,CountryAi,0.08169,0.07710,0.09130,0.20150,33.51
2000,normal,WarPreparation,0.00200,0.00130,0.00380,0.00440,0.82
2000,normal,MilitaryAi,0.00632,0.00630,0.00950,0.01210,2.59
2000,normal,FrontlineOrders,0.00410,0.00320,0.00620,0.03060,1.68
2000,normal,MilitaryAction,0.01313,0.01330,0.01570,0.01750,5.38
2000,normal,WarResolution,0.00283,0.00240,0.00450,0.00840,1.16
2000,normal,UiUpdate,0.00243,0.00200,0.00420,0.00430,1.00
2000,high_load,TimeUpdate,0.01459,0.00300,0.02130,0.36590,1.32
2000,high_load,Economy,0.03190,0.00520,0.01080,0.83020,2.89
2000,high_load,Research,0.00416,0.00350,0.00660,0.02260,0.38
2000,high_load,Diplomacy,0.03983,0.03820,0.05940,0.08390,3.60
2000,high_load,CountryAi,0.09913,0.09690,0.11980,0.14760,8.97
2000,high_load,WarPreparation,0.08896,0.08730,0.09830,0.14090,8.05
2000,high_load,MilitaryAi,0.09386,0.08940,0.11340,0.24650,8.50
2000,high_load,FrontlineOrders,0.48840,0.48740,0.50820,0.53350,44.20
2000,high_load,MilitaryAction,0.01835,0.01620,0.02920,0.04620,1.66
2000,high_load,WarResolution,0.12188,0.11370,0.14940,0.27900,11.03
2000,high_load,UiUpdate,0.00203,0.00110,0.00470,0.01590,0.18
