scale,scenario,set_name,mean_ms,median_ms,p95_ms,max_ms,pct_of_overall_mean
100,normal,TimeUpdate,0.00397,0.00320,0.00590,0.02450,4.29
100,normal,Economy,0.00473,0.00300,0.00530,0.05400,5.10
100,normal,Research,0.00311,0.00290,0.00570,0.00660,3.36
100,normal,Diplomacy,0.00212,0.00210,0.00300,0.00370,2.28
100,normal,CountryAi,0.01082,0.01060,0.01400,0.02400,11.69
100,normal,WarPreparation,0.00146,0.00090,0.00410,0.00920,1.58
100,normal,MilitaryAi,0.00302,0.00240,0.00500,0.02020,3.26
100,normal,FrontlineOrders,0.00287,0.00280,0.00480,0.01200,3.09
100,normal,MilitaryAction,0.00733,0.00390,0.00530,0.21060,7.91
100,normal,WarResolution,0.00316,0.00250,0.00440,0.03520,3.42
100,normal,UiUpdate,0.00188,0.00190,0.00290,0.00360,2.03
100,high_load,TimeUpdate,0.00402,0.00350,0.00510,0.01960,3.81
100,high_load,Economy,0.00466,0.00320,0.00490,0.04740,4.41
100,high_load,Research,0.00317,0.00310,0.00470,0.00660,3.00
100,high_load,Diplomacy,0.00223,0.00230,0.00290,0.00410,2.12
100,high_load,CountryAi,0.01151,0.01110,0.01500,0.01900,10.91
100,high_load,WarPreparation,0.00701,0.00720,0.00840,0.01200,6.64
100,high_load,MilitaryAi,0.00677,0.00660,0.00870,0.01580,6.41
100,high_load,FrontlineOrders,0.00978,0.00950,0.01360,0.01540,9.26
100,high_load,MilitaryAction,0.00354,0.00330,0.00470,0.00570,3.35
100,high_load,WarResolution,0.01043,0.01070,0.01270,0.01440,9.88
100,high_load,UiUpdate,0.00120,0.00110,0.00200,0.00340,1.14
500,normal,TimeUpdate,0.00523,0.00330,0.00410,0.06270,5.69
500,normal,Economy,0.00937,0.00320,0.00460,0.19040,10.18
500,normal,Research,0.00302,0.00280,0.00470,0.01180,3.28
500,normal,Diplomacy,0.00362,0.00350,0.00400,0.00580,3.93
500,normal,CountryAi,0.02116,0.02110,0.02300,0.02450,22.99
500,normal,WarPreparation,0.00118,0.00090,0.00300,0.00310,1.28
500,normal,MilitaryAi,0.00359,0.00400,0.00610,0.00630,3.90
500,normal,FrontlineOrders,0.00343,0.00370,0.00460,0.00950,3.73
500,normal,MilitaryAction,0.00574,0.00550,0.00900,0.01100,6.23
500,normal,WarResolution,0.00306,0.00260,0.00360,0.02390,3.33
500,normal,UiUpdate,0.00261,0.00240,0.00380,0.00660,2.83
500,high_load,TimeUpdate,0.00583,0.00400,0.00750,0.05980,2.80
500,high_load,Economy,0.00993,0.00380,0.00570,0.18850,4.76
500,high_load,Research,0.00357,0.00320,0.00560,0.01110,1.71
500,high_load,Diplomacy,0.00345,0.00340,0.00490,0.00510,1.66
500,high_load,CountryAi,0.02426,0.02360,0.02940,0.03090,11.63
500,high_load,WarPreparation,0.01712,0.01670,0.02030,0.02830,8.21
500,high_load,MilitaryAi,0.01100,0.01090,0.01380,0.01440,5.27
500,high_load,FrontlineOrders,0.06236,0.06190,0.06720,0.06880,29.89
500,high_load,MilitaryAction,0.00578,0.00600,0.00690,0.00800,2.77
500,high_load,WarResolution,0.02336,0.02250,0.02880,0.03150,11.20
500,high_load,UiUpdate,0.00091,0.00090,0.00110,0.00150,0.44
1000,normal,TimeUpdate,0.00774,0.00350,0.00510,0.13020,5.60
1000,normal,Economy,0.01565,0.00370,0.00530,0.36140,11.32
1000,normal,Research,0.00313,0.00290,0.00490,0.00820,2.26
1000,normal,Diplomacy,0.00724,0.00660,0.01050,0.01170,5.24
1000,normal,CountryAi,0.03773,0.03760,0.04070,0.04200,27.29
1000,normal,WarPreparation,0.00134,0.00090,0.00310,0.01130,0.97
1000,normal,MilitaryAi,0.00723,0.00490,0.00900,0.13640,5.23
1000,normal,FrontlineOrders,0.00293,0.00240,0.00460,0.00610,2.12
1000,normal,MilitaryAction,0.00744,0.00690,0.01040,0.01330,5.38
1000,normal,WarResolution,0.00316,0.00270,0.00430,0.01790,2.28
1000,normal,UiUpdate,0.00374,0.00230,0.00430,0.08790,2.71
1000,high_load,TimeUpdate,0.00750,0.00360,0.00540,0.13070,1.54
1000,high_load,Economy,0.01587,0.00390,0.00580,0.35970,3.25
1000,high_load,Research,0.00329,0.00320,0.00560,0.00900,0.67
1000,high_load,Diplomacy,0.01095,0.01020,0.01650,0.07460,2.24
1000,high_load,CountryAi,0.04410,0.04390,0.04960,0.05220,9.03
1000,high_load,WarPreparation,0.03671,0.03540,0.03900,0.08270,7.51
1000,high_load,MilitaryAi,0.02931,0.02870,0.03230,0.04940,6.00
1000,high_load,FrontlineOrders,0.21599,0.20830,0.22710,0.44970,44.22
1000,high_load,MilitaryAction,0.00928,0.00930,0.01130,0.01320,1.90
1000,high_load,WarResolution,0.04989,0.04940,0.05680,0.06700,10.21
1000,high_load,UiUpdate,0.00126,0.00090,0.00350,0.00460,0.26
2000,normal,TimeUpdate,0.01223,0.00360,0.00470,0.26820,5.38
2000,normal,Economy,0.02869,0.00420,0.00590,0.74170,12.63
2000,normal,Research,0.00415,0.00330,0.00650,0.02830,1.83
2000,normal,Diplomacy,0.02940,0.02850,0.03220,0.05030,12.94
2000,normal,CountryAi,0.07681,0.07510,0.08240,0.12430,33.82
2000,normal,WarPreparation,0.00172,0.00110,0.00360,0.00390,0.76
2000,normal,MilitaryAi,0.00641,0.00620,0.00950,0.01200,2.82
2000,normal,FrontlineOrders,0.00330,0.00290,0.00580,0.00960,1.45
2000,normal,MilitaryAction,0.01315,0.01260,0.01810,0.02210,5.79
2000,normal,WarResolution,0.00285,0.00210,0.00440,0.01950,1.25
2000,normal,UiUpdate,0.00258,0.00300,0.00420,0.00460,1.13
2000,high_load,TimeUpdate,0.01230,0.00340,0.00630,0.27630,1.21
2000,high_load,Economy,0.02905,0.00480,0.00660,0.74690,2.85
2000,high_load,Research,0.00389,0.00360,0.00600,0.01600,0.38
2000,high_load,Diplomacy,0.03055,0.02850,0.04150,0.05210,3.00
2000,high_load,CountryAi,0.09545,0.09130,0.10230,0.26790,9.36
2000,high_load,WarPreparation,0.08295,0.08220,0.08870,0.09710,8.13
2000,high_load,MilitaryAi,0.08350,0.08260,0.08820,0.09610,8.19
