scale,scenario,set_name,mean_ms,median_ms,p95_ms,max_ms,pct_of_overall_mean
100,normal,TimeUpdate,0.00346,0.00300,0.00480,0.02300,4.45
100,normal,Economy,0.00477,0.00300,0.00580,0.05880,6.13
100,normal,Research,0.00312,0.00280,0.00450,0.01190,4.01
100,normal,Diplomacy,0.00207,0.00210,0.00320,0.00370,2.66
100,normal,CountryAi,0.01111,0.01100,0.01270,0.02120,14.29
100,normal,WarPreparation,0.00108,0.00080,0.00290,0.00410,1.39
100,normal,MilitaryAi,0.00244,0.00220,0.00490,0.00590,3.14
100,normal,FrontlineOrders,0.00301,0.00300,0.00430,0.00500,3.86
100,normal,MilitaryAction,0.00533,0.00480,0.00680,0.03080,6.85
100,normal,WarResolution,0.00282,0.00250,0.00470,0.01540,3.63
100,normal,UiUpdate,0.00204,0.00190,0.00300,0.00350,2.63
100,high_load,TimeUpdate,0.00396,0.00280,0.01170,0.02900,2.60
100,high_load,Economy,0.00483,0.00320,0.00630,0.05260,3.16
100,high_load,Research,0.00335,0.00330,0.00490,0.00650,2.19
100,high_load,Diplomacy,0.00240,0.00230,0.00410,0.00540,1.57
100,high_load,CountryAi,0.01709,0.01180,0.02000,0.27680,11.19
100,high_load,WarPreparation,0.00833,0.00740,0.01290,0.02990,5.46
100,high_load,MilitaryAi,0.00680,0.00650,0.01010,0.01400,4.45
100,high_load,FrontlineOrders,0.01085,0.01010,0.01370,0.03450,7.10
100,high_load,MilitaryAction,0.00460,0.00430,0.00680,0.00880,3.01
100,high_load,WarResolution,0.01068,0.01090,0.01250,0.01590,6.99
100,high_load,UiUpdate,0.00124,0.00090,0.00310,0.00490,0.81
500,normal,TimeUpdate,0.00541,0.00310,0.01290,0.06240,5.23
500,normal,Economy,0.00921,0.00340,0.00550,0.19170,8.91
500,normal,Research,0.00310,0.00290,0.00440,0.01010,3.00
500,normal,Diplomacy,0.00335,0.00320,0.00490,0.00600,3.24
500,normal,CountryAi,0.02284,0.02210,0.02490,0.03990,22.09
500,normal,WarPreparation,0.00207,0.00080,0.00320,0.05860,2.01
500,normal,MilitaryAi,0.00436,0.00470,0.00620,0.00860,4.22
500,normal,FrontlineOrders,0.00354,0.00350,0.00500,0.00530,3.42
500,normal,MilitaryAction,0.00668,0.00660,0.00990,0.01250,6.46
500,normal,WarResolution,0.00302,0.00260,0.00480,0.00540,2.92
500,normal,UiUpdate,0.00228,0.00220,0.00390,0.00540,2.20
500,high_load,TimeUpdate,0.00471,0.00290,0.00520,0.05650,2.06
500,high_load,Economy,0.00924,0.00320,0.00510,0.18600,4.05
500,high_load,Research,0.00340,0.00310,0.00500,0.01230,1.49
500,high_load,Diplomacy,0.00357,0.00330,0.00530,0.00680,1.56
500,high_load,CountryAi,0.02563,0.02440,0.03270,0.04850,11.22
500,high_load,WarPreparation,0.01768,0.01630,0.02200,0.03880,7.74
500,high_load,MilitaryAi,0.01222,0.01150,0.01540,0.02150,5.35
500,high_load,FrontlineOrders,0.06325,0.06200,0.07190,0.08100,27.69
500,high_load,MilitaryAction,0.00768,0.00750,0.00900,0.01560,3.36
500,high_load,WarResolution,0.02186,0.02110,0.02550,0.03770,9.57
500,high_load,UiUpdate,0.00089,0.00080,0.00110,0.00360,0.39
1000,normal,TimeUpdate,0.00708,0.00330,0.00570,0.12390,5.11
1000,normal,Economy,0.01596,0.00360,0.00560,0.38000,11.51
1000,normal,Research,0.00339,0.00320,0.00480,0.00870,2.44
1000,normal,Diplomacy,0.00781,0.00660,0.01150,0.01770,5.63
1000,normal,CountryAi,0.03874,0.03810,0.04280,0.05390,27.92
1000,normal,WarPreparation,0.00181,0.00110,0.00380,0.00420,1.30
1000,normal,MilitaryAi,0.00546,0.00580,0.00850,0.00910,3.94
1000,normal,FrontlineOrders,0.00294,0.00260,0.00480,0.00570,2.12
1000,normal,MilitaryAction,0.00885,0.00850,0.01150,0.01490,6.38
1000,normal,WarResolution,0.00306,0.00260,0.00500,0.01200,2.21
1000,normal,UiUpdate,0.00267,0.00220,0.00460,0.02210,1.93
1000,high_load,TimeUpdate,0.00739,0.00320,0.00660,0.12180,1.51
1000,high_load,Economy,0.01687,0.00420,0.00620,0.41750,3.45
1000,high_load,Research,0.00337,0.00300,0.00540,0.01590,0.69
1000,high_load,Diplomacy,0.01004,0.01070,0.01320,0.01890,2.05
1000,high_load,CountryAi,0.04956,0.04410,0.05390,0.29750,10.13
1000,high_load,WarPreparation,0.03691,0.03600,0.04310,0.04660,7.55
1000,high_load,MilitaryAi,0.03062,0.02940,0.03290,0.08010,6.26
1000,high_load,FrontlineOrders,0.21482,0.20980,0.23210,0.35560,43.91
1000,high_load,MilitaryAction,0.01220,0.01190,0.01490,0.01550,2.49
1000,high_load,WarResolution,0.05099,0.05020,0.05660,0.06870,10.42
1000,high_load,UiUpdate,0.00113,0.00090,0.00360,0.00570,0.23
2000,normal,TimeUpdate,0.01218,0.00330,0.00710,0.26880,5.00
2000,normal,Economy,0.02940,0.00420,0.01970,0.77800,12.06
2000,normal,Research,0.00363,0.00320,0.00690,0.01440,1.49
2000,normal,Diplomacy,0.03233,0.03080,0.03990,0.06340,13.26
2000,normal,CountryAi,0.07893,0.07550,0.09610,0.14600,32.38
2000,normal,WarPreparation,0.00235,0.00300,0.00410,0.00540,0.96
2000,normal,MilitaryAi,0.00812,0.00780,0.01030,0.01150,3.33
2000,normal,FrontlineOrders,0.00260,0.00250,0.00330,0.00510,1.07
2000,normal,MilitaryAction,0.01339,0.01270,0.01660,0.03990,5.49
2000,normal,WarResolution,0.00254,0.00200,0.00520,0.00550,1.04
2000,normal,UiUpdate,0.00337,0.00360,0.00460,0.00540,1.38
2000,high_load,TimeUpdate,0.01249,0.00320,0.01440,0.26530,1.18
2000,high_load,Economy,0.02953,0.00480,0.00880,0.77180,2.79
2000,high_load,Research,0.00394,0.00360,0.00550,0.01980,0.37
2000,high_load,Diplomacy,0.03267,0.03060,0.04190,0.05490,3.09
2000,high_load,CountryAi,0.09278,0.09110,0.10140,0.14180,8.77
2000,high_load,WarPreparation,0.08711,0.08290,0.10630,0.21340,8.24
2000,high_load,MilitaryAi,0.08921,0.08570,0.09930,0.22780,8.44
2000,high_load,FrontlineOrders,0.48109,0.47030,0.54790,0.61310,45.49
2000,high_load,MilitaryAction,0.01686,0.01470,0.02710,0.06660,1.59
2000,high_load,WarResolution,0.11308,0.10820,0.14090,0.15910,10.69
2000,high_load,UiUpdate,0.00147,0.00090,0.00380,0.00700,0.14
