axis,param1,param2,mean_ms,p50_ms,p95_ms
axis1_snapshot,0,,0.000166,0.000200,0.000200
axis1_snapshot,8,,0.000314,0.000300,0.000400
axis1_snapshot,100,,0.002304,0.002300,0.002400
axis1_snapshot,1000,,0.018248,0.017600,0.019200
axis2_is_country_at_war,1,1,0.000046,0.000000,0.000100
axis2_are_countries_at_war,1,1,0.000044,0.000000,0.000100
axis2_is_country_at_war,1,8,0.000043,0.000000,0.000100
axis2_are_countries_at_war,1,8,0.000043,0.000000,0.000100
axis2_is_country_at_war,1,50,0.000068,0.000000,0.000100
axis2_are_countries_at_war,1,50,0.000044,0.000000,0.000100
axis2_is_country_at_war,10,1,0.000046,0.000000,0.000100
axis2_are_countries_at_war,10,1,0.000198,0.000200,0.000200
axis2_is_country_at_war,10,8,0.000061,0.000100,0.000100
axis2_are_countries_at_war,10,8,0.000189,0.000200,0.000200
axis2_is_country_at_war,10,50,0.000164,0.000200,0.000200
axis2_are_countries_at_war,10,50,0.000202,0.000200,0.000200
axis2_is_country_at_war,100,1,0.000839,0.000800,0.000900
axis2_are_countries_at_war,100,1,0.001700,0.001700,0.001700
axis2_is_country_at_war,100,8,0.000733,0.000700,0.000800
axis2_are_countries_at_war,100,8,0.001759,0.001700,0.001800
axis2_is_country_at_war,100,50,0.000271,0.000300,0.000400
axis2_are_countries_at_war,100,50,0.001795,0.001700,0.001800
