P21-016 性能プロファイル
========================

== 軸1: サポート・スナップショット生成 (reject_demand経由) ==
third_party_reactions件数 | mean(ms) | p50(ms) | p95(ms)
     0 | 0.0002 | 0.0002 | 0.0002
     8 | 0.0003 | 0.0003 | 0.0004
   100 | 0.0023 | 0.0023 | 0.0024
  1000 | 0.0182 | 0.0176 | 0.0192

== 軸2: 敵味方判定共有API (War数 x 陣営あたり参加国数) ==
war_count | participants_per_side | is_country_at_war mean(ms) | are_countries_at_war mean(ms)
        1 |                      1 | 0.00005 (p50=0.00000, p95=0.00010) | 0.00004 (p50=0.00000, p95=0.00010)
        1 |                      8 | 0.00004 (p50=0.00000, p95=0.00010) | 0.00004 (p50=0.00000, p95=0.00010)
        1 |                     50 | 0.00007 (p50=0.00000, p95=0.00010) | 0.00004 (p50=0.00000, p95=0.00010)
       10 |                      1 | 0.00005 (p50=0.00000, p95=0.00010) | 0.00020 (p50=0.00020, p95=0.00020)
       10 |                      8 | 0.00006 (p50=0.00010, p95=0.00010) | 0.00019 (p50=0.00020, p95=0.00020)
       10 |                     50 | 0.00016 (p50=0.00020, p95=0.00020) | 0.00020 (p50=0.00020, p95=0.00020)
      100 |                      1 | 0.00084 (p50=0.00080, p95=0.00090) | 0.00170 (p50=0.00170, p95=0.00170)
      100 |                      8 | 0.00073 (p50=0.00070, p95=0.00080) | 0.00176 (p50=0.00170, p95=0.00180)
      100 |                     50 | 0.00027 (p50=0.00030, p95=0.00040) | 0.00179 (p50=0.00170, p95=0.00180)

